EPC,AntID,RSSI,Timestamp
ABCF0007,1,78,2025-03-29 14:32:38.895
ABCF0001,1,85,2025-03-29 14:32:38.899
ABCF0001,3,83,2025-03-29 14:32:38.902
ABCF0001,4,89,2025-03-29 14:32:38.903
ABCF0001,1,86,2025-03-29 14:32:38.904
ABCF0007,1,78,2025-03-29 14:32:38.905
ABCF0007,2,81,2025-03-29 14:32:38.907
ABCF0001,2,84,2025-03-29 14:32:39.314
ABCF0005,2,79,2025-03-29 14:32:39.316
ABCF0001,1,82,2025-03-29 14:32:39.318
ABCF0005,2,81,2025-03-29 14:32:39.320
ABCF0001,2,86,2025-03-29 14:32:39.323
ABCF0001,3,81,2025-03-29 14:32:39.324
ABCF0005,3,80,2025-03-29 14:32:39.326
ABCF0001,4,90,2025-03-29 14:32:39.740
ABCF0007,4,73,2025-03-29 14:32:39.741
ABCF0005,4,81,2025-03-29 14:32:39.742
ABCF0001,1,86,2025-03-29 14:32:39.743
ABCF0007,1,79,2025-03-29 14:32:39.745
ABCF0001,1,86,2025-03-29 14:32:39.747
ABCF0007,1,79,2025-03-29 14:32:39.748
ABCF0005,2,82,2025-03-29 14:32:40.180
ABCF0001,2,87,2025-03-29 14:32:40.182
ABCF0001,3,82,2025-03-29 14:32:40.184
ABCF0001,1,86,2025-03-29 14:32:40.186
ABCF0007,1,79,2025-03-29 14:32:40.188
ABCF0001,2,86,2025-03-29 14:32:40.190
ABCF0005,2,81,2025-03-29 14:32:40.192
ABCF0005,3,78,2025-03-29 14:32:40.625
ABCF0001,3,81,2025-03-29 14:32:40.627
ABCF0001,4,91,2025-03-29 14:32:40.633
ABCF0007,1,80,2025-03-29 14:32:40.638
ABCF0001,1,84,2025-03-29 14:32:40.641
ABCF0007,1,80,2025-03-29 14:32:40.643
ABCF0001,1,83,2025-03-29 14:32:40.647
ABCF0001,2,87,2025-03-29 14:32:41.068
ABCF0005,2,83,2025-03-29 14:32:41.070
ABCF0001,3,83,2025-03-29 14:32:41.072
ABCF0001,4,88,2025-03-29 14:32:41.074
ABCF0007,4,76,2025-03-29 14:32:41.076
ABCF0005,4,81,2025-03-29 14:32:41.078
ABCF0007,1,79,2025-03-29 14:32:41.081
ABCF0001,1,86,2025-03-29 14:32:41.532
ABCF0001,1,82,2025-03-29 14:32:41.534
ABCF0007,1,81,2025-03-29 14:32:41.536
ABCF0001,3,83,2025-03-29 14:32:41.539
ABCF0001,4,90,2025-03-29 14:32:41.541
ABCF0005,4,79,2025-03-29 14:32:41.543
ABCF0001,1,82,2025-03-29 14:32:41.546
ABCF0007,1,82,2025-03-29 14:32:41.976
ABCF0005,1,79,2025-03-29 14:32:41.981
ABCF0001,1,81,2025-03-29 14:32:41.982
ABCF0001,2,84,2025-03-29 14:32:41.985
ABCF0007,2,75,2025-03-29 14:32:41.988
ABCF0001,3,84,2025-03-29 14:32:41.990
ABCF0007,4,74,2025-03-29 14:32:41.993
ABCF0001,4,91,2025-03-29 14:32:42.401
ABCF0005,4,81,2025-03-29 14:32:42.403
ABCF0005,1,82,2025-03-29 14:32:42.405
ABCF0007,1,79,2025-03-29 14:32:42.408
ABCF0001,1,85,2025-03-29 14:32:42.410
ABCF0005,2,79,2025-03-29 14:32:42.414
ABCF0001,2,85,2025-03-29 14:32:42.420
ABCF0001,3,86,2025-03-29 14:32:42.862
ABCF0001,1,80,2025-03-29 14:32:42.864
ABCF0007,1,75,2025-03-29 14:32:42.868
ABCF0005,2,82,2025-03-29 14:32:42.870
ABCF0001,2,86,2025-03-29 14:32:42.872
ABCF0001,3,82,2025-03-29 14:32:42.874
ABCF0001,4,90,2025-03-29 14:32:42.876
ABCF0007,4,77,2025-03-29 14:32:43.286
ABCF0005,4,81,2025-03-29 14:32:43.288
ABCF0001,1,78,2025-03-29 14:32:43.290
ABCF0001,1,81,2025-03-29 14:32:43.292
ABCF0007,1,78,2025-03-29 14:32:43.294
ABCF0001,2,83,2025-03-29 14:32:43.298
ABCF0005,2,79,2025-03-29 14:32:43.300
ABCF0007,2,80,2025-03-29 14:32:43.729
ABCF0001,3,82,2025-03-29 14:32:43.731
ABCF0001,1,81,2025-03-29 14:32:43.735
ABCF0005,1,79,2025-03-29 14:32:43.737
ABCF0001,2,84,2025-03-29 14:32:43.739
ABCF0007,2,77,2025-03-29 14:32:43.741
ABCF0001,3,83,2025-03-29 14:32:43.744
ABCF0001,4,89,2025-03-29 14:32:44.193
ABCF0007,4,74,2025-03-29 14:32:44.194
ABCF0005,2,81,2025-03-29 14:32:44.197
