EPC,AntID,RSSI,Timestamp
ABCF0001,1,81,2025-03-29 14:20:05.455
ABCF0005,1,82,2025-03-29 14:20:05.459
ABCF0005,2,81,2025-03-29 14:20:05.461
ABCF0007,3,77,2025-03-29 14:20:05.463
ABCF0007,4,82,2025-03-29 14:20:05.464
ABCF0001,4,81,2025-03-29 14:20:05.465
ABCF0005,1,82,2025-03-29 14:20:05.466
ABCF0007,1,76,2025-03-29 14:20:05.894
ABCF0001,1,84,2025-03-29 14:20:05.895
ABCF0001,1,82,2025-03-29 14:20:05.897
ABCF0005,2,86,2025-03-29 14:20:05.898
ABCF0007,2,80,2025-03-29 14:20:05.900
ABCF0001,4,80,2025-03-29 14:20:05.901
ABCF0007,4,81,2025-03-29 14:20:05.903
ABCF0007,1,77,2025-03-29 14:20:06.317
ABCF0005,1,81,2025-03-29 14:20:06.318
ABCF0001,1,86,2025-03-29 14:20:06.319
ABCF0001,1,83,2025-03-29 14:20:06.321
ABCF0005,1,83,2025-03-29 14:20:06.322
ABCF0007,1,76,2025-03-29 14:20:06.324
ABCF0001,2,79,2025-03-29 14:20:06.324
ABCF0001,4,78,2025-03-29 14:20:06.763
ABCF0007,4,75,2025-03-29 14:20:06.765
ABCF0005,1,82,2025-03-29 14:20:06.767
ABCF0001,1,85,2025-03-29 14:20:06.769
ABCF0007,1,76,2025-03-29 14:20:06.772
ABCF0001,1,83,2025-03-29 14:20:06.773
ABCF0005,1,83,2025-03-29 14:20:06.775
ABCF0007,1,75,2025-03-29 14:20:07.185
ABCF0005,2,80,2025-03-29 14:20:07.187
ABCF0007,2,74,2025-03-29 14:20:07.191
ABCF0007,3,77,2025-03-29 14:20:07.193
ABCF0001,3,83,2025-03-29 14:20:07.195
ABCF0001,1,81,2025-03-29 14:20:07.198
ABCF0005,1,80,2025-03-29 14:20:07.200
ABCF0005,2,80,2025-03-29 14:20:07.627
ABCF0007,2,73,2025-03-29 14:20:07.629
ABCF0001,2,78,2025-03-29 14:20:07.631
ABCF0007,3,78,2025-03-29 14:20:07.633
ABCF0001,4,79,2025-03-29 14:20:07.635
ABCF0007,4,73,2025-03-29 14:20:07.638
ABCF0001,1,81,2025-03-29 14:20:07.640
ABCF0001,1,84,2025-03-29 14:20:08.097
ABCF0007,3,79,2025-03-29 14:20:08.099
ABCF0001,3,82,2025-03-29 14:20:08.101
ABCF0007,4,82,2025-03-29 14:20:08.104
ABCF0001,4,82,2025-03-29 14:20:08.107
ABCF0005,1,81,2025-03-29 14:20:08.109
ABCF0001,1,80,2025-03-29 14:20:08.112
ABCF0005,1,83,2025-03-29 14:20:08.563
ABCF0001,1,81,2025-03-29 14:20:08.564
ABCF0005,2,81,2025-03-29 14:20:08.567
ABCF0007,2,77,2025-03-29 14:20:08.569
ABCF0007,4,74,2025-03-29 14:20:08.572
ABCF0001,4,78,2025-03-29 14:20:08.574
ABCF0001,1,79,2025-03-29 14:20:08.576
ABCF0001,1,84,2025-03-29 14:20:09.004
ABCF0005,1,83,2025-03-29 14:20:09.013
ABCF0007,1,75,2025-03-29 14:20:09.020
ABCF0005,2,85,2025-03-29 14:20:09.024
ABCF0007,2,80,2025-03-29 14:20:09.028
ABCF0007,4,75,2025-03-29 14:20:09.031
ABCF0001,4,79,2025-03-29 14:20:09.034
ABCF0001,1,84,2025-03-29 14:20:09.548
ABCF0001,1,85,2025-03-29 14:20:09.549
ABCF0005,1,82,2025-03-29 14:20:09.551
ABCF0007,1,76,2025-03-29 14:20:09.553
ABCF0007,2,79,2025-03-29 14:20:09.555
ABCF0005,2,83,2025-03-29 14:20:09.557
ABCF0007,4,74,2025-03-29 14:20:09.560
ABCF0001,4,78,2025-03-29 14:20:09.990
ABCF0001,1,85,2025-03-29 14:20:09.994
ABCF0001,1,80,2025-03-29 14:20:09.997
ABCF0005,2,84,2025-03-29 14:20:09.999
ABCF0007,2,79,2025-03-29 14:20:10.001
ABCF0001,3,83,2025-03-29 14:20:10.003
ABCF0007,3,78,2025-03-29 14:20:10.005
ABCF0001,1,85,2025-03-29 14:20:10.454
ABCF0005,2,80,2025-03-29 14:20:10.458
ABCF0007,2,77,2025-03-29 14:20:10.461
ABCF0007,4,75,2025-03-29 14:20:10.465
ABCF0001,4,79,2025-03-29 14:20:10.468
ABCF0001,1,81,2025-03-29 14:20:10.473
ABCF0005,1,79,2025-03-29 14:20:10.474
ABCF0007,3,78,2025-03-29 14:20:10.914
ABCF0001,1,81,2025-03-29 14:20:10.916
ABCF0005,1,83,2025-03-29 14:20:10.918
ABCF0007,1,73,2025-03-29 14:20:10.920
ABCF0005,2,81,2025-03-29 14:20:10.922
ABCF0007,2,73,2025-03-29 14:20:10.925
ABCF0001,3,81,2025-03-29 14:20:10.928
ABCF0007,3,78,2025-03-29 14:20:11.357
ABCF0001,4,78,2025-03-29 14:20:11.359
ABCF0007,4,74,2025-03-29 14:20:11.361
ABCF0001,1,83,2025-03-29 14:20:11.364
ABCF0001,1,83,2025-03-29 14:20:11.366
ABCF0007,2,79,2025-03-29 14:20:11.368
ABCF0005,2,85,2025-03-29 14:20:11.370
ABCF0007,4,82,2025-03-29 14:20:11.822
ABCF0001,4,82,2025-03-29 14:20:11.824
ABCF0001,1,84,2025-03-29 14:20:11.826
ABCF0001,1,81,2025-03-29 14:20:11.829
ABCF0005,1,82,2025-03-29 14:20:11.831
ABCF0005,2,82,2025-03-29 14:20:11.834
ABCF0007,2,78,2025-03-29 14:20:11.837
ABCF0005,4,79,2025-03-29 14:20:12.287
ABCF0007,4,81,2025-03-29 14:20:12.293
ABCF0001,4,80,2025-03-29 14:20:12.301
ABCF0001,1,84,2025-03-29 14:20:12.304
ABCF0001,1,84,2025-03-29 14:20:12.308
ABCF0005,2,85,2025-03-29 14:20:12.313
ABCF0007,2,80,2025-03-29 14:20:12.315
ABCF0001,4,81,2025-03-29 14:20:12.730
