EPC,AntID,RSSI,Timestamp
ABCF0007,4,73,2025-03-29 14:28:45.459
ABCF0005,4,79,2025-03-29 14:28:45.464
ABCF0005,4,78,2025-03-29 14:28:45.465
ABCF0007,4,74,2025-03-29 14:28:45.467
ABCF0007,4,76,2025-03-29 14:28:45.468
ABCF0007,4,77,2025-03-29 14:28:45.469
ABCF0007,4,77,2025-03-29 14:28:45.470
ABCF0005,4,79,2025-03-29 14:28:46.506
ABCF0007,4,74,2025-03-29 14:28:46.507
ABCF0007,4,79,2025-03-29 14:28:46.508
ABCF0007,4,77,2025-03-29 14:28:46.512
ABCF0007,4,73,2025-03-29 14:28:46.513
ABCF0005,4,79,2025-03-29 14:28:46.514
ABCF0007,4,76,2025-03-29 14:28:47.405
ABCF0001,4,77,2025-03-29 14:28:47.406
ABCF0007,4,73,2025-03-29 14:28:47.409
ABCF0005,4,80,2025-03-29 14:28:47.410
ABCF0001,4,76,2025-03-29 14:28:47.412
ABCF0007,4,75,2025-03-29 14:28:47.414
ABCF0007,4,76,2025-03-29 14:28:47.416
ABCF0005,4,80,2025-03-29 14:28:48.324
ABCF0007,4,73,2025-03-29 14:28:48.329
ABCF0007,4,75,2025-03-29 14:28:48.330
ABCF0007,4,77,2025-03-29 14:28:48.332
ABCF0007,4,73,2025-03-29 14:28:48.334
ABCF0005,4,80,2025-03-29 14:28:48.337
ABCF0007,4,76,2025-03-29 14:28:49.060
ABCF0007,4,73,2025-03-29 14:28:49.062
ABCF0007,4,72,2025-03-29 14:28:49.065
ABCF0005,4,80,2025-03-29 14:28:49.067
ABCF0001,2,75,2025-03-29 14:28:49.069
ABCF0007,4,74,2025-03-29 14:28:49.071
ABCF0001,4,76,2025-03-29 14:28:49.970
ABCF0007,4,75,2025-03-29 14:28:49.971
ABCF0007,4,78,2025-03-29 14:28:49.974
ABCF0007,4,76,2025-03-29 14:28:49.977
ABCF0007,4,73,2025-03-29 14:28:49.979
ABCF0007,4,72,2025-03-29 14:28:49.981
ABCF0005,4,80,2025-03-29 14:28:50.921
ABCF0007,4,76,2025-03-29 14:28:50.923
ABCF0007,4,74,2025-03-29 14:28:50.927
ABCF0007,4,73,2025-03-29 14:28:50.930
ABCF0007,4,77,2025-03-29 14:28:50.933
ABCF0007,4,75,2025-03-29 14:28:50.936
ABCF0007,4,73,2025-03-29 14:28:51.736
ABCF0005,4,79,2025-03-29 14:28:51.737
ABCF0007,4,78,2025-03-29 14:28:51.740
ABCF0007,4,74,2025-03-29 14:28:51.742
ABCF0007,4,75,2025-03-29 14:28:51.746
ABCF0007,4,75,2025-03-29 14:28:51.750
ABCF0007,4,72,2025-03-29 14:28:52.466
ABCF0005,4,79,2025-03-29 14:28:52.467
ABCF0007,4,73,2025-03-29 14:28:52.470
ABCF0007,4,77,2025-03-29 14:28:52.472
ABCF0001,4,77,2025-03-29 14:28:52.475
