EPC,AntID,RSSI,Timestamp
ABCF0001,1,80,2025-03-29 14:05:47.033
ABCF0007,1,78,2025-03-29 14:05:47.039
ABCF0007,4,75,2025-03-29 14:05:47.040
ABCF0005,1,78,2025-03-29 14:05:47.042
ABCF0007,1,79,2025-03-29 14:05:47.042
ABCF0007,3,78,2025-03-29 14:05:47.044
ABCF0005,4,80,2025-03-29 14:05:47.046
ABCF0001,4,80,2025-03-29 14:05:47.614
ABCF0007,1,80,2025-03-29 14:05:47.615
ABCF0007,1,76,2025-03-29 14:05:47.617
ABCF0007,3,77,2025-03-29 14:05:47.619
ABCF0007,3,78,2025-03-29 14:05:47.621
ABCF0007,1,80,2025-03-29 14:05:47.623
ABCF0007,1,80,2025-03-29 14:05:47.625
ABCF0005,1,80,2025-03-29 14:05:48.195
ABCF0007,3,78,2025-03-29 14:05:48.195
ABCF0001,1,82,2025-03-29 14:05:48.197
ABCF0007,1,76,2025-03-29 14:05:48.198
ABCF0007,3,74,2025-03-29 14:05:48.199
ABCF0001,1,82,2025-03-29 14:05:48.200
ABCF0007,1,78,2025-03-29 14:05:48.201
ABCF0001,1,82,2025-03-29 14:05:48.773
ABCF0007,1,79,2025-03-29 14:05:48.778
ABCF0007,3,78,2025-03-29 14:05:48.782
ABCF0007,4,75,2025-03-29 14:05:48.786
ABCF0001,1,83,2025-03-29 14:05:48.789
ABCF0007,1,79,2025-03-29 14:05:48.790
ABCF0007,3,77,2025-03-29 14:05:48.793
ABCF0007,4,75,2025-03-29 14:05:49.319
ABCF0007,1,80,2025-03-29 14:05:49.323
ABCF0007,3,78,2025-03-29 14:05:49.329
ABCF0007,1,80,2025-03-29 14:05:49.334
ABCF0001,1,82,2025-03-29 14:05:49.336
ABCF0007,1,77,2025-03-29 14:05:49.339
ABCF0007,3,74,2025-03-29 14:05:49.342
ABCF0007,1,80,2025-03-29 14:05:49.904
ABCF0005,1,77,2025-03-29 14:05:49.907
ABCF0007,1,77,2025-03-29 14:05:49.913
ABCF0001,1,81,2025-03-29 14:05:49.916
ABCF0007,1,78,2025-03-29 14:05:49.919
ABCF0007,3,77,2025-03-29 14:05:49.922
ABCF0007,1,76,2025-03-29 14:05:49.925
ABCF0007,1,79,2025-03-29 14:05:50.582
ABCF0001,1,81,2025-03-29 14:05:50.584
ABCF0007,1,79,2025-03-29 14:05:50.586
ABCF0001,1,80,2025-03-29 14:05:50.588
ABCF0001,1,81,2025-03-29 14:05:50.590
ABCF0007,1,76,2025-03-29 14:05:50.592
ABCF0007,4,78,2025-03-29 14:05:50.595
ABCF0001,1,82,2025-03-29 14:05:51.164
ABCF0007,1,76,2025-03-29 14:05:51.166
