EPC,AntID,RSSI,Timestamp
ABCF0007,1,76,2025-03-29 14:00:23.993
ABCF0005,1,95,2025-03-29 14:00:23.997
ABCF0001,1,80,2025-03-29 14:00:23.999
ABCF0005,1,95,2025-03-29 14:00:24.001
ABCF0001,1,82,2025-03-29 14:00:24.001
ABCF0005,1,93,2025-03-29 14:00:24.002
ABCF0007,1,86,2025-03-29 14:00:24.003
ABCF0005,1,95,2025-03-29 14:00:24.532
ABCF0005,1,95,2025-03-29 14:00:24.533
ABCF0001,1,80,2025-03-29 14:00:24.535
ABCF0007,1,80,2025-03-29 14:00:24.537
ABCF0007,1,85,2025-03-29 14:00:24.539
ABCF0001,1,83,2025-03-29 14:00:24.540
ABCF0005,1,93,2025-03-29 14:00:24.542
ABCF0005,1,96,2025-03-29 14:00:25.074
ABCF0001,1,81,2025-03-29 14:00:25.075
ABCF0005,1,91,2025-03-29 14:00:25.077
ABCF0007,1,89,2025-03-29 14:00:25.081
ABCF0005,1,95,2025-03-29 14:00:25.082
ABCF0001,1,80,2025-03-29 14:00:25.083
ABCF0007,1,79,2025-03-29 14:00:25.084
ABCF0001,1,80,2025-03-29 14:00:25.562
ABCF0005,1,95,2025-03-29 14:00:25.564
ABCF0007,1,80,2025-03-29 14:00:25.566
ABCF0001,1,80,2025-03-29 14:00:25.568
ABCF0007,1,86,2025-03-29 14:00:25.571
ABCF0005,1,92,2025-03-29 14:00:25.573
ABCF0007,1,76,2025-03-29 14:00:25.575
ABCF0005,1,95,2025-03-29 14:00:26.104
ABCF0005,1,93,2025-03-29 14:00:26.106
ABCF0001,1,83,2025-03-29 14:00:26.108
ABCF0007,1,85,2025-03-29 14:00:26.110
ABCF0005,1,94,2025-03-29 14:00:26.112
ABCF0001,1,83,2025-03-29 14:00:26.114
ABCF0007,1,86,2025-03-29 14:00:26.116
ABCF0005,1,93,2025-03-29 14:00:26.649
ABCF0001,1,80,2025-03-29 14:00:26.657
ABCF0007,1,87,2025-03-29 14:00:26.662
ABCF0005,1,92,2025-03-29 14:00:26.666
ABCF0005,1,94,2025-03-29 14:00:26.668
ABCF0001,1,83,2025-03-29 14:00:26.671
ABCF0005,1,93,2025-03-29 14:00:26.674
ABCF0007,1,85,2025-03-29 14:00:27.192
ABCF0005,1,96,2025-03-29 14:00:27.195
ABCF0007,1,78,2025-03-29 14:00:27.199
ABCF0005,1,95,2025-03-29 14:00:27.203
ABCF0001,1,80,2025-03-29 14:00:27.207
ABCF0005,1,94,2025-03-29 14:00:27.211
ABCF0001,1,81,2025-03-29 14:00:27.213
ABCF0007,1,82,2025-03-29 14:00:27.654
ABCF0005,1,95,2025-03-29 14:00:27.655
ABCF0007,1,79,2025-03-29 14:00:27.657
ABCF0001,1,80,2025-03-29 14:00:27.659
ABCF0007,1,84,2025-03-29 14:00:27.662
ABCF0005,1,93,2025-03-29 14:00:27.664
ABCF0001,1,84,2025-03-29 14:00:27.666
ABCF0005,1,91,2025-03-29 14:00:28.197
ABCF0001,1,79,2025-03-29 14:00:28.201
ABCF0007,1,89,2025-03-29 14:00:28.205
ABCF0005,1,96,2025-03-29 14:00:28.210
ABCF0001,1,80,2025-03-29 14:00:28.212
ABCF0001,1,81,2025-03-29 14:00:28.215
ABCF0005,1,95,2025-03-29 14:00:28.218
ABCF0001,1,83,2025-03-29 14:00:28.778
ABCF0005,1,93,2025-03-29 14:00:28.780
ABCF0007,1,86,2025-03-29 14:00:28.785
ABCF0005,1,96,2025-03-29 14:00:28.788
ABCF0001,1,79,2025-03-29 14:00:28.792
ABCF0007,1,88,2025-03-29 14:00:28.795
ABCF0005,1,91,2025-03-29 14:00:28.798
ABCF0007,1,85,2025-03-29 14:00:29.320
ABCF0005,1,93,2025-03-29 14:00:29.321
ABCF0001,1,83,2025-03-29 14:00:29.323
ABCF0005,1,91,2025-03-29 14:00:29.325
