EPC,AntID,RSSI,Timestamp
ABCF0007,1,84,2025-03-29 13:56:23.527
ABCF0005,1,92,2025-03-29 13:56:23.532
ABCF0001,1,91,2025-03-29 13:56:23.535
ABCF0005,2,91,2025-03-29 13:56:23.536
ABCF0001,2,93,2025-03-29 13:56:23.538
ABCF0007,2,94,2025-03-29 13:56:23.539
ABCF0007,3,88,2025-03-29 13:56:23.540
ABCF0005,3,77,2025-03-29 13:56:23.925
ABCF0001,3,79,2025-03-29 13:56:23.926
ABCF0001,1,90,2025-03-29 13:56:23.927
ABCF0005,1,93,2025-03-29 13:56:23.929
ABCF0007,1,84,2025-03-29 13:56:23.931
ABCF0007,2,91,2025-03-29 13:56:23.933
ABCF0001,2,93,2025-03-29 13:56:23.934
ABCF0005,2,91,2025-03-29 13:56:24.348
ABCF0001,3,78,2025-03-29 13:56:24.349
ABCF0007,3,86,2025-03-29 13:56:24.351
ABCF0005,3,79,2025-03-29 13:56:24.352
ABCF0005,1,92,2025-03-29 13:56:24.355
ABCF0007,2,92,2025-03-29 13:56:24.357
ABCF0001,2,91,2025-03-29 13:56:24.358
ABCF0005,2,92,2025-03-29 13:56:24.770
ABCF0007,3,85,2025-03-29 13:56:24.773
ABCF0001,3,79,2025-03-29 13:56:24.774
ABCF0007,4,90,2025-03-29 13:56:24.777
ABCF0005,4,84,2025-03-29 13:56:24.779
ABCF0001,4,94,2025-03-29 13:56:24.783
ABCF0005,1,92,2025-03-29 13:56:24.785
ABCF0007,1,84,2025-03-29 13:56:25.174
ABCF0001,1,89,2025-03-29 13:56:25.188
ABCF0007,1,85,2025-03-29 13:56:25.193
ABCF0001,1,89,2025-03-29 13:56:25.202
ABCF0005,1,92,2025-03-29 13:56:25.205
ABCF0007,2,91,2025-03-29 13:56:25.207
ABCF0005,2,91,2025-03-29 13:56:25.209
ABCF0001,2,93,2025-03-29 13:56:25.577
ABCF0007,1,85,2025-03-29 13:56:25.578
ABCF0001,1,92,2025-03-29 13:56:25.582
ABCF0005,1,92,2025-03-29 13:56:25.583
ABCF0007,2,91,2025-03-29 13:56:25.586
ABCF0001,2,92,2025-03-29 13:56:25.588
ABCF0005,2,91,2025-03-29 13:56:25.590
ABCF0007,3,86,2025-03-29 13:56:25.999
ABCF0005,3,80,2025-03-29 13:56:26.002
ABCF0001,3,79,2025-03-29 13:56:26.006
ABCF0001,1,91,2025-03-29 13:56:26.010
ABCF0005,1,92,2025-03-29 13:56:26.015
ABCF0007,1,84,2025-03-29 13:56:26.017
ABCF0001,2,93,2025-03-29 13:56:26.019
ABCF0005,2,91,2025-03-29 13:56:26.420
ABCF0007,2,91,2025-03-29 13:56:26.422
ABCF0007,3,86,2025-03-29 13:56:26.424
ABCF0001,1,92,2025-03-29 13:56:26.426
ABCF0005,1,90,2025-03-29 13:56:26.429
ABCF0007,1,81,2025-03-29 13:56:26.431
ABCF0007,2,90,2025-03-29 13:56:26.433
ABCF0001,2,93,2025-03-29 13:56:26.825
ABCF0005,2,90,2025-03-29 13:56:26.827
ABCF0001,3,81,2025-03-29 13:56:26.831
ABCF0005,3,81,2025-03-29 13:56:26.833
ABCF0007,3,85,2025-03-29 13:56:26.835
ABCF0005,1,92,2025-03-29 13:56:26.837
ABCF0007,1,84,2025-03-29 13:56:26.839
ABCF0001,1,90,2025-03-29 13:56:27.246
ABCF0007,2,91,2025-03-29 13:56:27.248
ABCF0005,2,92,2025-03-29 13:56:27.250
ABCF0001,2,92,2025-03-29 13:56:27.252
ABCF0007,3,87,2025-03-29 13:56:27.255
ABCF0001,1,89,2025-03-29 13:56:27.257
ABCF0007,1,84,2025-03-29 13:56:27.259
ABCF0005,1,92,2025-03-29 13:56:27.670
ABCF0007,2,90,2025-03-29 13:56:27.672
ABCF0005,2,95,2025-03-29 13:56:27.674
ABCF0001,2,96,2025-03-29 13:56:27.676
ABCF0007,3,85,2025-03-29 13:56:27.679
ABCF0007,4,93,2025-03-29 13:56:27.680
ABCF0005,4,91,2025-03-29 13:56:27.683
ABCF0001,4,87,2025-03-29 13:56:28.096
ABCF0005,1,93,2025-03-29 13:56:28.098
ABCF0001,1,90,2025-03-29 13:56:28.104
ABCF0007,1,83,2025-03-29 13:56:28.106
ABCF0005,1,92,2025-03-29 13:56:28.111
ABCF0005,2,91,2025-03-29 13:56:28.114
ABCF0007,2,93,2025-03-29 13:56:28.117
ABCF0001,2,92,2025-03-29 13:56:28.497
ABCF0007,3,85,2025-03-29 13:56:28.500
ABCF0005,3,81,2025-03-29 13:56:28.504
ABCF0001,3,81,2025-03-29 13:56:28.509
ABCF0001,1,92,2025-03-29 13:56:28.512
ABCF0007,1,78,2025-03-29 13:56:28.517
ABCF0005,1,90,2025-03-29 13:56:28.520
ABCF0005,2,90,2025-03-29 13:56:28.919
ABCF0001,2,93,2025-03-29 13:56:28.921
ABCF0007,2,90,2025-03-29 13:56:28.924
ABCF0001,1,91,2025-03-29 13:56:28.926
ABCF0005,1,92,2025-03-29 13:56:28.928
ABCF0007,1,84,2025-03-29 13:56:28.931
ABCF0005,2,96,2025-03-29 13:56:28.933
ABCF0001,2,92,2025-03-29 13:56:29.344
ABCF0007,2,89,2025-03-29 13:56:29.346
ABCF0007,3,86,2025-03-29 13:56:29.349
ABCF0001,4,88,2025-03-29 13:56:29.352
ABCF0007,4,91,2025-03-29 13:56:29.354
ABCF0005,4,89,2025-03-29 13:56:29.356
ABCF0001,1,90,2025-03-29 13:56:29.359
ABCF0007,1,84,2025-03-29 13:56:29.747
ABCF0005,1,92,2025-03-29 13:56:29.749
ABCF0001,1,93,2025-03-29 13:56:29.751
ABCF0007,1,77,2025-03-29 13:56:29.754
ABCF0005,1,91,2025-03-29 13:56:29.756
ABCF0005,2,92,2025-03-29 13:56:29.758
ABCF0007,2,92,2025-03-29 13:56:29.761
ABCF0001,2,91,2025-03-29 13:56:30.148
ABCF0005,1,90,2025-03-29 13:56:30.149
ABCF0007,1,79,2025-03-29 13:56:30.152
ABCF0001,1,92,2025-03-29 13:56:30.155
ABCF0005,2,92,2025-03-29 13:56:30.157
ABCF0007,2,92,2025-03-29 13:56:30.159
ABCF0001,2,91,2025-03-29 13:56:30.161
ABCF0001,1,93,2025-03-29 13:56:30.571
ABCF0005,1,91,2025-03-29 13:56:30.575
ABCF0007,1,85,2025-03-29 13:56:30.577
ABCF0007,2,89,2025-03-29 13:56:30.579
ABCF0001,2,92,2025-03-29 13:56:30.582
ABCF0005,2,95,2025-03-29 13:56:30.585
ABCF0001,3,80,2025-03-29 13:56:30.587
ABCF0007,3,88,2025-03-29 13:56:30.973
ABCF0005,1,90,2025-03-29 13:56:30.975
ABCF0001,1,92,2025-03-29 13:56:30.978
ABCF0007,1,84,2025-03-29 13:56:30.980
ABCF0001,2,92,2025-03-29 13:56:30.982
ABCF0007,2,93,2025-03-29 13:56:30.984
ABCF0005,2,92,2025-03-29 13:56:30.986
ABCF0007,3,88,2025-03-29 13:56:31.397
ABCF0001,3,79,2025-03-29 13:56:31.399
ABCF0005,4,87,2025-03-29 13:56:31.401
ABCF0001,4,88,2025-03-29 13:56:31.403
ABCF0007,4,91,2025-03-29 13:56:31.405
ABCF0001,1,90,2025-03-29 13:56:31.407
ABCF0005,1,93,2025-03-29 13:56:31.411
ABCF0007,1,83,2025-03-29 13:56:31.823
ABCF0001,2,92,2025-03-29 13:56:31.825
ABCF0005,2,94,2025-03-29 13:56:31.828
ABCF0007,2,89,2025-03-29 13:56:31.830
ABCF0007,1,84,2025-03-29 13:56:31.833
ABCF0005,1,92,2025-03-29 13:56:31.835
ABCF0001,1,90,2025-03-29 13:56:31.837
ABCF0005,2,92,2025-03-29 13:56:32.245
ABCF0007,2,91,2025-03-29 13:56:32.246
ABCF0001,2,92,2025-03-29 13:56:32.249
ABCF0001,3,78,2025-03-29 13:56:32.251
ABCF0007,3,88,2025-03-29 13:56:32.253
ABCF0005,1,92,2025-03-29 13:56:32.255
ABCF0007,1,83,2025-03-29 13:56:32.258
ABCF0001,1,89,2025-03-29 13:56:32.666
ABCF0005,2,91,2025-03-29 13:56:32.668
ABCF0007,2,91,2025-03-29 13:56:32.669
ABCF0001,2,93,2025-03-29 13:56:32.671
ABCF0007,3,86,2025-03-29 13:56:32.674
ABCF0007,4,90,2025-03-29 13:56:32.676
ABCF0005,4,91,2025-03-29 13:56:32.678
ABCF0001,4,87,2025-03-29 13:56:33.071
ABCF0007,1,84,2025-03-29 13:56:33.072
ABCF0005,1,91,2025-03-29 13:56:33.075
ABCF0001,1,89,2025-03-29 13:56:33.080
ABCF0007,1,83,2025-03-29 13:56:33.081
ABCF0005,1,90,2025-03-29 13:56:33.083
ABCF0001,1,93,2025-03-29 13:56:33.085
ABCF0007,2,89,2025-03-29 13:56:33.493
ABCF0001,2,92,2025-03-29 13:56:33.496
ABCF0005,2,96,2025-03-29 13:56:33.500
ABCF0005,1,90,2025-03-29 13:56:33.502
ABCF0007,1,84,2025-03-29 13:56:33.505
ABCF0001,1,89,2025-03-29 13:56:33.508
ABCF0001,2,97,2025-03-29 13:56:33.510
ABCF0007,2,90,2025-03-29 13:56:33.898
ABCF0005,2,94,2025-03-29 13:56:33.901
ABCF0007,3,89,2025-03-29 13:56:33.905
ABCF0001,3,81,2025-03-29 13:56:33.908
ABCF0007,1,84,2025-03-29 13:56:33.910
ABCF0001,1,88,2025-03-29 13:56:33.913
ABCF0005,1,91,2025-03-29 13:56:33.916
ABCF0005,2,93,2025-03-29 13:56:34.344
ABCF0007,2,91,2025-03-29 13:56:34.350
ABCF0001,2,97,2025-03-29 13:56:34.352
ABCF0007,3,88,2025-03-29 13:56:34.354
ABCF0005,1,91,2025-03-29 13:56:34.356
ABCF0001,1,89,2025-03-29 13:56:34.360
ABCF0007,2,91,2025-03-29 13:56:34.361
ABCF0005,2,91,2025-03-29 13:56:34.767
ABCF0001,2,93,2025-03-29 13:56:34.771
ABCF0007,3,89,2025-03-29 13:56:34.775
ABCF0005,4,88,2025-03-29 13:56:34.779
ABCF0001,4,94,2025-03-29 13:56:34.782
ABCF0007,4,92,2025-03-29 13:56:34.784
ABCF0007,1,84,2025-03-29 13:56:34.787
ABCF0005,1,92,2025-03-29 13:56:35.169
ABCF0001,1,90,2025-03-29 13:56:35.173
ABCF0001,1,89,2025-03-29 13:56:35.175
ABCF0007,1,83,2025-03-29 13:56:35.177
ABCF0005,1,93,2025-03-29 13:56:35.179
ABCF0007,2,89,2025-03-29 13:56:35.181
ABCF0001,2,92,2025-03-29 13:56:35.183
ABCF0005,2,96,2025-03-29 13:56:35.571
ABCF0005,1,90,2025-03-29 13:56:35.573
ABCF0007,1,85,2025-03-29 13:56:35.575
ABCF0001,1,88,2025-03-29 13:56:35.577
ABCF0001,2,92,2025-03-29 13:56:35.580
ABCF0007,2,92,2025-03-29 13:56:35.581
ABCF0005,2,92,2025-03-29 13:56:35.584
ABCF0005,3,80,2025-03-29 13:56:35.995
ABCF0007,3,86,2025-03-29 13:56:36.000
ABCF0001,3,77,2025-03-29 13:56:36.004
