EPC,AntID,RSSI,Timestamp
ABCF0007,2,77,2025-03-29 13:48:15.591
ABCF0005,4,82,2025-03-29 13:48:15.597
ABCF0007,3,78,2025-03-29 13:48:15.599
ABCF0005,4,83,2025-03-29 13:48:15.600
ABCF0007,3,80,2025-03-29 13:48:15.601
ABCF0005,4,84,2025-03-29 13:48:15.602
ABCF0007,2,76,2025-03-29 13:48:15.603
ABCF0007,3,75,2025-03-29 13:48:16.228
ABCF0005,4,83,2025-03-29 13:48:16.229
ABCF0007,2,73,2025-03-29 13:48:16.230
ABCF0005,3,80,2025-03-29 13:48:16.232
ABCF0005,4,84,2025-03-29 13:48:16.234
ABCF0005,4,84,2025-03-29 13:48:16.236
ABCF0001,3,81,2025-03-29 13:48:16.237
ABCF0005,4,84,2025-03-29 13:48:16.929
ABCF0005,4,85,2025-03-29 13:48:16.930
ABCF0005,4,83,2025-03-29 13:48:16.931
ABCF0007,3,78,2025-03-29 13:48:16.933
ABCF0005,4,84,2025-03-29 13:48:16.934
ABCF0007,2,77,2025-03-29 13:48:16.935
ABCF0007,3,80,2025-03-29 13:48:16.936
ABCF0005,4,84,2025-03-29 13:48:17.590
ABCF0007,2,77,2025-03-29 13:48:17.591
ABCF0007,3,81,2025-03-29 13:48:17.596
ABCF0007,2,78,2025-03-29 13:48:17.598
ABCF0007,3,78,2025-03-29 13:48:17.600
ABCF0005,4,83,2025-03-29 13:48:17.603
ABCF0005,4,80,2025-03-29 13:48:17.605
ABCF0007,2,77,2025-03-29 13:48:18.252
ABCF0007,3,79,2025-03-29 13:48:18.254
ABCF0007,2,77,2025-03-29 13:48:18.256
ABCF0007,3,80,2025-03-29 13:48:18.258
ABCF0005,4,84,2025-03-29 13:48:18.260
ABCF0005,4,79,2025-03-29 13:48:18.262
ABCF0007,2,75,2025-03-29 13:48:18.265
ABCF0007,3,81,2025-03-29 13:48:18.850
ABCF0005,4,81,2025-03-29 13:48:18.852
ABCF0007,2,78,2025-03-29 13:48:18.854
ABCF0007,2,73,2025-03-29 13:48:18.856
ABCF0007,3,80,2025-03-29 13:48:18.858
ABCF0005,4,84,2025-03-29 13:48:18.860
ABCF0005,4,84,2025-03-29 13:48:18.862
ABCF0007,2,77,2025-03-29 13:48:19.492
ABCF0007,3,71,2025-03-29 13:48:19.494
ABCF0005,4,83,2025-03-29 13:48:19.497
ABCF0007,2,76,2025-03-29 13:48:19.499
ABCF0007,3,80,2025-03-29 13:48:19.501
ABCF0005,4,84,2025-03-29 13:48:19.503
