EPC,AntID,RSSI,Timestamp
ABCF0007,1,74,2025-03-29 13:52:25.595
ABCF0007,2,77,2025-03-29 13:52:25.599
ABCF0005,3,83,2025-03-29 13:52:25.601
ABCF0001,4,86,2025-03-29 13:52:25.602
ABCF0001,1,80,2025-03-29 13:52:25.604
ABCF0005,1,78,2025-03-29 13:52:25.606
ABCF0007,2,80,2025-03-29 13:52:25.607
ABCF0001,2,82,2025-03-29 13:52:26.057
ABCF0001,1,81,2025-03-29 13:52:26.058
ABCF0005,1,79,2025-03-29 13:52:26.059
ABCF0007,2,74,2025-03-29 13:52:26.060
ABCF0007,3,79,2025-03-29 13:52:26.062
ABCF0005,3,79,2025-03-29 13:52:26.064
ABCF0001,1,80,2025-03-29 13:52:26.065
ABCF0005,1,77,2025-03-29 13:52:26.497
ABCF0007,2,80,2025-03-29 13:52:26.498
ABCF0001,2,82,2025-03-29 13:52:26.500
ABCF0007,1,74,2025-03-29 13:52:26.501
ABCF0007,2,78,2025-03-29 13:52:26.502
ABCF0001,2,79,2025-03-29 13:52:26.504
ABCF0007,3,81,2025-03-29 13:52:26.505
ABCF0005,4,80,2025-03-29 13:52:26.961
ABCF0005,1,81,2025-03-29 13:52:26.963
ABCF0001,1,80,2025-03-29 13:52:26.966
ABCF0007,1,76,2025-03-29 13:52:26.968
ABCF0001,2,82,2025-03-29 13:52:26.970
ABCF0007,2,81,2025-03-29 13:52:26.973
ABCF0007,3,81,2025-03-29 13:52:26.975
ABCF0001,4,81,2025-03-29 13:52:27.424
ABCF0005,4,82,2025-03-29 13:52:27.426
ABCF0001,1,80,2025-03-29 13:52:27.428
ABCF0001,1,78,2025-03-29 13:52:27.431
ABCF0005,1,80,2025-03-29 13:52:27.433
ABCF0007,3,77,2025-03-29 13:52:27.437
ABCF0005,3,82,2025-03-29 13:52:27.438
ABCF0005,4,83,2025-03-29 13:52:27.888
ABCF0001,4,78,2025-03-29 13:52:27.891
ABCF0007,1,75,2025-03-29 13:52:27.895
ABCF0001,1,80,2025-03-29 13:52:27.901
ABCF0007,2,77,2025-03-29 13:52:27.903
ABCF0001,2,80,2025-03-29 13:52:27.905
ABCF0007,3,74,2025-03-29 13:52:27.907
ABCF0005,3,85,2025-03-29 13:52:28.372
ABCF0007,1,73,2025-03-29 13:52:28.374
ABCF0007,2,76,2025-03-29 13:52:28.377
ABCF0007,3,73,2025-03-29 13:52:28.379
ABCF0005,3,85,2025-03-29 13:52:28.383
ABCF0007,1,74,2025-03-29 13:52:28.384
ABCF0001,2,80,2025-03-29 13:52:28.386
ABCF0007,2,76,2025-03-29 13:52:28.816
ABCF0005,3,82,2025-03-29 13:52:28.819
ABCF0005,4,81,2025-03-29 13:52:28.821
ABCF0001,4,83,2025-03-29 13:52:28.823
ABCF0007,1,74,2025-03-29 13:52:28.825
ABCF0005,1,82,2025-03-29 13:52:28.827
ABCF0001,1,81,2025-03-29 13:52:28.829
ABCF0001,2,81,2025-03-29 13:52:29.279
ABCF0007,2,77,2025-03-29 13:52:29.280
ABCF0001,3,81,2025-03-29 13:52:29.282
ABCF0007,3,81,2025-03-29 13:52:29.285
ABCF0005,4,80,2025-03-29 13:52:29.287
ABCF0007,1,73,2025-03-29 13:52:29.289
ABCF0007,1,75,2025-03-29 13:52:29.291
ABCF0007,2,77,2025-03-29 13:52:29.723
ABCF0007,3,76,2025-03-29 13:52:29.726
ABCF0005,3,84,2025-03-29 13:52:29.728
ABCF0005,4,81,2025-03-29 13:52:29.730
ABCF0001,4,83,2025-03-29 13:52:29.732
ABCF0001,1,80,2025-03-29 13:52:29.735
ABCF0005,1,82,2025-03-29 13:52:29.738
ABCF0007,1,74,2025-03-29 13:52:30.190
ABCF0001,2,82,2025-03-29 13:52:30.195
ABCF0007,2,80,2025-03-29 13:52:30.200
ABCF0005,3,83,2025-03-29 13:52:30.202
ABCF0001,4,80,2025-03-29 13:52:30.206
ABCF0005,4,83,2025-03-29 13:52:30.207
ABCF0007,1,75,2025-03-29 13:52:30.209
ABCF0001,1,80,2025-03-29 13:52:30.657
ABCF0001,2,83,2025-03-29 13:52:30.658
ABCF0005,3,82,2025-03-29 13:52:30.661
ABCF0007,3,77,2025-03-29 13:52:30.663
ABCF0005,4,84,2025-03-29 13:52:30.665
ABCF0001,4,81,2025-03-29 13:52:30.667
ABCF0001,1,81,2025-03-29 13:52:30.669
ABCF0005,1,81,2025-03-29 13:52:31.102
ABCF0001,1,81,2025-03-29 13:52:31.106
ABCF0007,2,80,2025-03-29 13:52:31.108
ABCF0001,2,81,2025-03-29 13:52:31.110
ABCF0005,3,86,2025-03-29 13:52:31.113
ABCF0007,3,73,2025-03-29 13:52:31.116
ABCF0005,4,79,2025-03-29 13:52:31.117
ABCF0001,1,80,2025-03-29 13:52:31.549
ABCF0005,1,82,2025-03-29 13:52:31.551
ABCF0005,1,78,2025-03-29 13:52:31.554
ABCF0001,1,80,2025-03-29 13:52:31.556
ABCF0001,2,80,2025-03-29 13:52:31.558
ABCF0007,2,78,2025-03-29 13:52:31.560
ABCF0005,3,82,2025-03-29 13:52:31.562
ABCF0007,3,75,2025-03-29 13:52:32.011
ABCF0005,4,80,2025-03-29 13:52:32.013
ABCF0001,4,83,2025-03-29 13:52:32.015
ABCF0007,1,74,2025-03-29 13:52:32.019
ABCF0007,1,75,2025-03-29 13:52:32.021
ABCF0007,2,77,2025-03-29 13:52:32.023
ABCF0005,3,82,2025-03-29 13:52:32.025
ABCF0005,4,82,2025-03-29 13:52:32.482
ABCF0001,4,81,2025-03-29 13:52:32.485
ABCF0007,1,73,2025-03-29 13:52:32.488
ABCF0005,1,81,2025-03-29 13:52:32.490
ABCF0001,1,79,2025-03-29 13:52:32.492
ABCF0001,2,83,2025-03-29 13:52:32.494
ABCF0005,3,85,2025-03-29 13:52:32.496
ABCF0001,4,84,2025-03-29 13:52:32.925
ABCF0001,1,80,2025-03-29 13:52:32.927
ABCF0005,1,81,2025-03-29 13:52:32.929
ABCF0001,1,81,2025-03-29 13:52:32.932
ABCF0005,1,79,2025-03-29 13:52:32.933
ABCF0007,2,77,2025-03-29 13:52:32.935
ABCF0001,2,80,2025-03-29 13:52:32.937
ABCF0007,3,74,2025-03-29 13:52:33.371
ABCF0005,3,86,2025-03-29 13:52:33.373
ABCF0005,4,84,2025-03-29 13:52:33.375
ABCF0001,4,80,2025-03-29 13:52:33.378
