EPC,AntID,RSSI,Timestamp
ABCF0007,1,79,2025-03-29 13:18:33.147
ABCF0001,1,90,2025-03-29 13:18:33.148
ABCF0001,2,83,2025-03-29 13:18:33.149
ABCF0007,4,76,2025-03-29 13:18:33.151
ABCF0007,4,80,2025-03-29 13:18:33.153
ABCF0001,2,84,2025-03-29 13:18:33.154
ABCF0007,4,77,2025-03-29 13:18:33.867
ABCF0001,2,85,2025-03-29 13:18:33.869
ABCF0007,4,80,2025-03-29 13:18:33.871
ABCF0001,2,82,2025-03-29 13:18:33.872
ABCF0007,4,77,2025-03-29 13:18:33.875
ABCF0001,2,83,2025-03-29 13:18:33.877
ABCF0001,2,84,2025-03-29 13:18:33.880
ABCF0007,4,75,2025-03-29 13:18:34.429
ABCF0007,1,76,2025-03-29 13:18:34.430
ABCF0001,2,85,2025-03-29 13:18:34.432
ABCF0007,4,77,2025-03-29 13:18:34.434
ABCF0001,2,84,2025-03-29 13:18:34.435
ABCF0007,1,74,2025-03-29 13:18:34.438
ABCF0001,2,82,2025-03-29 13:18:34.439
ABCF0007,3,76,2025-03-29 13:18:34.967
ABCF0007,4,76,2025-03-29 13:18:34.975
ABCF0001,2,83,2025-03-29 13:18:34.978
ABCF0007,3,75,2025-03-29 13:18:34.982
ABCF0001,2,84,2025-03-29 13:18:34.984
ABCF0007,3,77,2025-03-29 13:18:34.986
ABCF0007,4,80,2025-03-29 13:18:34.989
ABCF0001,2,85,2025-03-29 13:18:35.650
ABCF0007,3,73,2025-03-29 13:18:35.652
ABCF0001,2,84,2025-03-29 13:18:35.655
ABCF0007,4,76,2025-03-29 13:18:35.658
ABCF0001,2,82,2025-03-29 13:18:35.661
ABCF0007,4,77,2025-03-29 13:18:35.663
ABCF0001,2,85,2025-03-29 13:18:35.666
ABCF0001,2,81,2025-03-29 13:18:36.351
ABCF0001,2,85,2025-03-29 13:18:36.355
ABCF0007,4,75,2025-03-29 13:18:36.361
ABCF0007,1,75,2025-03-29 13:18:36.365
ABCF0001,2,85,2025-03-29 13:18:36.367
ABCF0007,4,79,2025-03-29 13:18:36.370
ABCF0007,1,75,2025-03-29 13:18:36.373
ABCF0001,2,85,2025-03-29 13:18:36.952
ABCF0007,4,77,2025-03-29 13:18:36.953
ABCF0007,3,76,2025-03-29 13:18:36.956
ABCF0007,4,78,2025-03-29 13:18:36.958
ABCF0001,2,81,2025-03-29 13:18:36.961
ABCF0007,1,75,2025-03-29 13:18:36.964
ABCF0001,2,84,2025-03-29 13:18:36.967
ABCF0001,2,82,2025-03-29 13:18:37.768
ABCF0007,3,73,2025-03-29 13:18:37.770
ABCF0001,2,81,2025-03-29 13:18:37.772
ABCF0007,3,75,2025-03-29 13:18:37.774
ABCF0001,2,79,2025-03-29 13:18:37.776
ABCF0007,3,74,2025-03-29 13:18:37.778
ABCF0007,4,76,2025-03-29 13:18:37.780
ABCF0007,1,77,2025-03-29 13:18:38.356
ABCF0001,2,80,2025-03-29 13:18:38.358
ABCF0007,3,78,2025-03-29 13:18:38.361
ABCF0001,2,80,2025-03-29 13:18:38.364
ABCF0007,1,79,2025-03-29 13:18:38.366
ABCF0001,2,80,2025-03-29 13:18:38.369
ABCF0005,2,76,2025-03-29 13:18:38.370
ABCF0007,3,77,2025-03-29 13:18:39.036
ABCF0001,3,78,2025-03-29 13:18:39.038
ABCF0007,1,76,2025-03-29 13:18:39.042
ABCF0001,2,80,2025-03-29 13:18:39.044
ABCF0007,1,75,2025-03-29 13:18:39.048
ABCF0001,2,80,2025-03-29 13:18:39.050
ABCF0001,2,81,2025-03-29 13:18:39.053
ABCF0001,2,82,2025-03-29 13:18:40.483
ABCF0001,2,83,2025-03-29 13:18:40.485
ABCF0001,2,84,2025-03-29 13:18:40.488
ABCF0001,2,82,2025-03-29 13:18:40.490
ABCF0001,2,80,2025-03-29 13:18:40.492
ABCF0007,1,75,2025-03-29 13:18:41.405
ABCF0001,2,80,2025-03-29 13:18:41.407
ABCF0001,4,78,2025-03-29 13:18:41.409
ABCF0001,2,80,2025-03-29 13:18:41.411
ABCF0001,4,77,2025-03-29 13:18:41.414
ABCF0001,2,79,2025-03-29 13:18:41.416
ABCF0001,2,81,2025-03-29 13:18:43.106
ABCF0007,4,72,2025-03-29 13:18:43.108
ABCF0001,4,78,2025-03-29 13:18:43.111
ABCF0007,4,73,2025-03-29 13:18:43.115
ABCF0007,4,75,2025-03-29 13:18:43.927
ABCF0007,4,79,2025-03-29 13:18:43.929
ABCF0001,3,79,2025-03-29 13:18:43.932
ABCF0007,4,78,2025-03-29 13:18:43.934
ABCF0001,2,82,2025-03-29 13:18:43.936
ABCF0001,3,81,2025-03-29 13:18:43.938
ABCF0007,3,79,2025-03-29 13:18:44.711
ABCF0007,4,82,2025-03-29 13:18:44.712
ABCF0001,4,79,2025-03-29 13:18:44.715
ABCF0007,3,78,2025-03-29 13:18:44.717
ABCF0001,4,79,2025-03-29 13:18:44.720
ABCF0007,3,75,2025-03-29 13:18:44.721
ABCF0007,1,75,2025-03-29 13:18:44.723
ABCF0001,1,79,2025-03-29 13:18:45.625
ABCF0007,1,76,2025-03-29 13:18:45.628
ABCF0007,4,75,2025-03-29 13:18:45.632
ABCF0001,1,80,2025-03-29 13:18:45.635
ABCF0001,1,77,2025-03-29 13:18:45.638
ABCF0007,4,75,2025-03-29 13:18:45.641
ABCF0001,1,78,2025-03-29 13:18:47.442
ABCF0001,1,78,2025-03-29 13:18:47.446
ABCF0007,1,76,2025-03-29 13:18:47.451
ABCF0001,1,78,2025-03-29 13:18:47.456
ABCF0001,1,81,2025-03-29 13:18:48.673
ABCF0007,4,76,2025-03-29 13:18:48.674
ABCF0001,1,79,2025-03-29 13:18:48.676
ABCF0007,4,76,2025-03-29 13:18:48.679
ABCF0007,4,77,2025-03-29 13:18:48.682
ABCF0001,4,83,2025-03-29 13:18:48.684
ABCF0001,4,84,2025-03-29 13:18:49.526
ABCF0007,4,76,2025-03-29 13:18:49.528
