EPC,AntID,RSSI,Timestamp
ABCF0001,1,84,2025-03-29 13:33:41.598
ABCF0005,1,79,2025-03-29 13:33:41.602
ABCF0007,1,89,2025-03-29 13:33:41.603
ABCF0001,1,80,2025-03-29 13:33:41.605
ABCF0007,1,88,2025-03-29 13:33:41.606
ABCF0005,1,83,2025-03-29 13:33:41.608
ABCF0001,4,80,2025-03-29 13:33:41.609
ABCF0007,1,90,2025-03-29 13:33:42.058
ABCF0001,1,85,2025-03-29 13:33:42.059
ABCF0005,1,82,2025-03-29 13:33:42.060
ABCF0001,1,86,2025-03-29 13:33:42.062
ABCF0007,1,90,2025-03-29 13:33:42.064
ABCF0005,1,82,2025-03-29 13:33:42.065
ABCF0001,4,80,2025-03-29 13:33:42.066
ABCF0007,1,88,2025-03-29 13:33:42.544
ABCF0001,1,83,2025-03-29 13:33:42.545
ABCF0005,1,82,2025-03-29 13:33:42.547
ABCF0001,1,87,2025-03-29 13:33:42.548
ABCF0007,1,88,2025-03-29 13:33:42.549
ABCF0001,1,81,2025-03-29 13:33:42.551
ABCF0007,1,88,2025-03-29 13:33:42.552
ABCF0005,1,82,2025-03-29 13:33:43.010
ABCF0007,1,90,2025-03-29 13:33:43.012
ABCF0001,1,86,2025-03-29 13:33:43.014
ABCF0005,1,78,2025-03-29 13:33:43.016
ABCF0007,4,72,2025-03-29 13:33:43.019
ABCF0007,1,84,2025-03-29 13:33:43.022
ABCF0001,1,86,2025-03-29 13:33:43.025
ABCF0005,1,80,2025-03-29 13:33:43.511
ABCF0001,1,85,2025-03-29 13:33:43.514
ABCF0007,1,84,2025-03-29 13:33:43.516
ABCF0005,1,79,2025-03-29 13:33:43.518
ABCF0007,1,85,2025-03-29 13:33:43.520
ABCF0001,1,84,2025-03-29 13:33:43.523
ABCF0005,1,78,2025-03-29 13:33:43.525
ABCF0007,4,79,2025-03-29 13:33:44.055
ABCF0007,1,88,2025-03-29 13:33:44.057
ABCF0001,1,82,2025-03-29 13:33:44.059
ABCF0007,1,89,2025-03-29 13:33:44.063
ABCF0001,1,79,2025-03-29 13:33:44.064
ABCF0005,1,82,2025-03-29 13:33:44.067
ABCF0001,1,78,2025-03-29 13:33:44.069
ABCF0007,1,85,2025-03-29 13:33:44.539
ABCF0005,1,80,2025-03-29 13:33:44.541
ABCF0001,1,79,2025-03-29 13:33:44.544
ABCF0007,1,83,2025-03-29 13:33:44.546
ABCF0001,1,79,2025-03-29 13:33:44.548
ABCF0007,1,80,2025-03-29 13:33:44.550
ABCF0007,2,77,2025-03-29 13:33:44.552
ABCF0001,2,81,2025-03-29 13:33:45.001
ABCF0001,1,82,2025-03-29 13:33:45.004
ABCF0007,1,82,2025-03-29 13:33:45.006
ABCF0005,1,79,2025-03-29 13:33:45.008
ABCF0005,1,80,2025-03-29 13:33:45.010
ABCF0001,1,84,2025-03-29 13:33:45.013
ABCF0007,1,81,2025-03-29 13:33:45.015
ABCF0007,2,78,2025-03-29 13:33:45.541
ABCF0005,1,75,2025-03-29 13:33:45.542
ABCF0007,1,81,2025-03-29 13:33:45.545
ABCF0001,1,85,2025-03-29 13:33:45.547
ABCF0001,4,83,2025-03-29 13:33:45.550
ABCF0007,2,76,2025-03-29 13:33:45.552
