EPC,AntID,RSSI,Timestamp
ABCF0007,3,79,2025-03-29 13:11:26.163
ABCF0001,2,91,2025-03-29 13:11:26.164
ABCF0001,3,78,2025-03-29 13:11:26.166
ABCF0007,4,82,2025-03-29 13:11:26.168
ABCF0001,2,91,2025-03-29 13:11:26.170
ABCF0001,2,90,2025-03-29 13:11:26.172
ABCF0001,3,83,2025-03-29 13:11:26.684
ABCF0001,2,86,2025-03-29 13:11:26.686
ABCF0005,2,79,2025-03-29 13:11:26.689
ABCF0001,3,81,2025-03-29 13:11:26.690
ABCF0007,4,76,2025-03-29 13:11:26.692
ABCF0001,2,89,2025-03-29 13:11:26.693
ABCF0001,3,77,2025-03-29 13:11:26.694
ABCF0007,4,78,2025-03-29 13:11:27.308
ABCF0001,2,90,2025-03-29 13:11:27.308
ABCF0001,4,79,2025-03-29 13:11:27.310
ABCF0007,4,74,2025-03-29 13:11:27.311
ABCF0001,2,93,2025-03-29 13:11:27.313
ABCF0007,4,77,2025-03-29 13:11:27.315
ABCF0001,2,84,2025-03-29 13:11:27.316
ABCF0001,3,83,2025-03-29 13:11:27.868
ABCF0007,4,77,2025-03-29 13:11:27.872
ABCF0001,4,80,2025-03-29 13:11:27.875
ABCF0001,2,89,2025-03-29 13:11:27.878
ABCF0001,4,82,2025-03-29 13:11:27.880
ABCF0001,2,90,2025-03-29 13:11:27.883
ABCF0001,2,84,2025-03-29 13:11:27.885
ABCF0001,3,83,2025-03-29 13:11:28.371
ABCF0007,4,76,2025-03-29 13:11:28.375
ABCF0001,4,81,2025-03-29 13:11:28.382
ABCF0001,2,85,2025-03-29 13:11:28.389
ABCF0005,2,77,2025-03-29 13:11:28.392
ABCF0001,3,85,2025-03-29 13:11:28.395
ABCF0001,2,90,2025-03-29 13:11:28.399
ABCF0001,3,81,2025-03-29 13:11:28.911
ABCF0007,3,81,2025-03-29 13:11:28.914
ABCF0001,4,79,2025-03-29 13:11:28.920
ABCF0007,2,75,2025-03-29 13:11:28.924
ABCF0007,3,78,2025-03-29 13:11:28.928
ABCF0007,2,74,2025-03-29 13:11:28.932
ABCF0001,4,86,2025-03-29 13:11:28.935
ABCF0007,1,73,2025-03-29 13:11:29.397
ABCF0001,2,84,2025-03-29 13:11:29.400
ABCF0007,2,76,2025-03-29 13:11:29.401
ABCF0001,4,88,2025-03-29 13:11:29.404
ABCF0001,1,87,2025-03-29 13:11:29.406
ABCF0001,1,82,2025-03-29 13:11:29.408
ABCF0007,1,77,2025-03-29 13:11:29.410
ABCF0001,2,86,2025-03-29 13:11:29.880
ABCF0001,4,87,2025-03-29 13:11:29.884
ABCF0001,1,88,2025-03-29 13:11:29.889
ABCF0007,1,82,2025-03-29 13:11:29.893
ABCF0001,2,81,2025-03-29 13:11:29.898
ABCF0007,1,81,2025-03-29 13:11:29.900
ABCF0001,1,85,2025-03-29 13:11:29.902
ABCF0001,2,84,2025-03-29 13:11:30.400
ABCF0001,4,83,2025-03-29 13:11:30.403
ABCF0001,1,79,2025-03-29 13:11:30.409
ABCF0007,1,79,2025-03-29 13:11:30.412
ABCF0001,2,84,2025-03-29 13:11:30.416
ABCF0001,2,87,2025-03-29 13:11:30.420
ABCF0001,3,78,2025-03-29 13:11:30.423
ABCF0001,2,87,2025-03-29 13:11:31.181
ABCF0001,2,87,2025-03-29 13:11:31.182
ABCF0001,2,83,2025-03-29 13:11:31.185
ABCF0001,3,79,2025-03-29 13:11:31.189
ABCF0001,2,86,2025-03-29 13:11:31.190
ABCF0005,4,78,2025-03-29 13:11:31.193
ABCF0007,2,76,2025-03-29 13:11:31.195
ABCF0007,2,74,2025-03-29 13:11:31.723
ABCF0001,2,82,2025-03-29 13:11:31.727
ABCF0001,4,86,2025-03-29 13:11:31.732
ABCF0007,1,76,2025-03-29 13:11:31.738
ABCF0005,1,80,2025-03-29 13:11:31.739
ABCF0007,2,77,2025-03-29 13:11:31.741
ABCF0001,2,85,2025-03-29 13:11:31.744
ABCF0007,1,80,2025-03-29 13:11:32.187
ABCF0005,1,81,2025-03-29 13:11:32.189
ABCF0001,1,82,2025-03-29 13:11:32.193
ABCF0001,2,79,2025-03-29 13:11:32.196
ABCF0001,4,91,2025-03-29 13:11:32.198
ABCF0007,1,87,2025-03-29 13:11:32.201
ABCF0001,1,84,2025-03-29 13:11:32.203
ABCF0005,1,78,2025-03-29 13:11:32.651
ABCF0007,1,84,2025-03-29 13:11:32.656
ABCF0001,1,85,2025-03-29 13:11:32.661
ABCF0005,4,86,2025-03-29 13:11:32.665
ABCF0001,4,88,2025-03-29 13:11:32.670
ABCF0001,1,79,2025-03-29 13:11:32.672
ABCF0007,1,79,2025-03-29 13:11:32.675
ABCF0007,2,74,2025-03-29 13:11:33.112
ABCF0001,2,82,2025-03-29 13:11:33.114
ABCF0007,1,76,2025-03-29 13:11:33.118
ABCF0001,1,85,2025-03-29 13:11:33.120
ABCF0007,2,73,2025-03-29 13:11:33.122
ABCF0001,2,84,2025-03-29 13:11:33.124
ABCF0001,4,80,2025-03-29 13:11:33.126
ABCF0001,1,83,2025-03-29 13:11:33.696
ABCF0001,2,86,2025-03-29 13:11:33.698
ABCF0007,2,73,2025-03-29 13:11:33.700
ABCF0001,2,78,2025-03-29 13:11:33.703
ABCF0005,4,86,2025-03-29 13:11:33.705
ABCF0005,4,86,2025-03-29 13:11:33.707
ABCF0001,1,80,2025-03-29 13:11:33.710
ABCF0001,2,80,2025-03-29 13:11:34.360
ABCF0005,4,86,2025-03-29 13:11:34.361
ABCF0001,2,82,2025-03-29 13:11:34.364
ABCF0001,1,81,2025-03-29 13:11:34.366
ABCF0005,4,87,2025-03-29 13:11:34.369
ABCF0007,1,77,2025-03-29 13:11:34.371
ABCF0001,1,78,2025-03-29 13:11:34.373
ABCF0007,2,73,2025-03-29 13:11:34.903
ABCF0001,2,86,2025-03-29 13:11:34.905
ABCF0001,1,82,2025-03-29 13:11:34.907
ABCF0005,4,87,2025-03-29 13:11:34.909
ABCF0007,1,79,2025-03-29 13:11:34.912
ABCF0005,1,77,2025-03-29 13:11:34.914
ABCF0007,1,82,2025-03-29 13:11:34.917
ABCF0001,1,77,2025-03-29 13:11:35.365
ABCF0001,4,84,2025-03-29 13:11:35.367
ABCF0001,1,80,2025-03-29 13:11:35.370
ABCF0005,1,79,2025-03-29 13:11:35.378
ABCF0007,1,85,2025-03-29 13:11:35.380
ABCF0007,1,85,2025-03-29 13:11:35.383
ABCF0001,1,83,2025-03-29 13:11:35.385
ABCF0001,4,90,2025-03-29 13:11:35.848
ABCF0005,4,87,2025-03-29 13:11:35.850
ABCF0007,1,83,2025-03-29 13:11:35.852
ABCF0001,1,81,2025-03-29 13:11:35.854
ABCF0001,2,78,2025-03-29 13:11:35.856
ABCF0001,1,86,2025-03-29 13:11:35.859
ABCF0007,1,79,2025-03-29 13:11:35.861
ABCF0001,2,79,2025-03-29 13:11:36.449
ABCF0001,4,91,2025-03-29 13:11:36.450
ABCF0007,1,82,2025-03-29 13:11:36.453
ABCF0001,1,82,2025-03-29 13:11:36.455
ABCF0001,4,83,2025-03-29 13:11:36.458
ABCF0001,2,82,2025-03-29 13:11:36.461
ABCF0001,4,82,2025-03-29 13:11:36.462
ABCF0001,2,82,2025-03-29 13:11:37.172
ABCF0005,4,79,2025-03-29 13:11:37.173
ABCF0001,2,85,2025-03-29 13:11:37.176
ABCF0005,4,80,2025-03-29 13:11:37.178
ABCF0001,2,86,2025-03-29 13:11:37.180
ABCF0005,4,78,2025-03-29 13:11:37.182
ABCF0001,1,85,2025-03-29 13:11:37.184
ABCF0007,1,74,2025-03-29 13:11:37.691
ABCF0001,1,81,2025-03-29 13:11:37.693
ABCF0001,4,84,2025-03-29 13:11:37.695
ABCF0001,1,80,2025-03-29 13:11:37.697
ABCF0001,2,83,2025-03-29 13:11:37.699
ABCF0007,2,75,2025-03-29 13:11:37.702
ABCF0001,4,81,2025-03-29 13:11:37.705
ABCF0001,1,86,2025-03-29 13:11:38.298
ABCF0001,1,86,2025-03-29 13:11:38.304
ABCF0001,2,79,2025-03-29 13:11:38.307
ABCF0001,1,82,2025-03-29 13:11:38.310
ABCF0001,4,80,2025-03-29 13:11:38.314
ABCF0001,1,83,2025-03-29 13:11:38.316
ABCF0001,1,82,2025-03-29 13:11:38.318
ABCF0001,4,78,2025-03-29 13:11:38.977
ABCF0001,1,80,2025-03-29 13:11:38.979
ABCF0001,1,79,2025-03-29 13:11:38.982
