EPC,AntID,RSSI,Timestamp
ABCF0007,3,74,2025-03-29 13:43:35.163
ABCF0005,3,78,2025-03-29 13:43:35.168
ABCF0001,3,81,2025-03-29 13:43:35.170
ABCF0007,3,76,2025-03-29 13:43:35.170
ABCF0007,3,79,2025-03-29 13:43:35.171
ABCF0001,3,82,2025-03-29 13:43:35.171
ABCF0001,3,79,2025-03-29 13:43:35.979
ABCF0007,3,76,2025-03-29 13:43:35.980
ABCF0007,3,78,2025-03-29 13:43:35.981
ABCF0001,3,81,2025-03-29 13:43:35.983
ABCF0007,3,75,2025-03-29 13:43:35.987
ABCF0001,3,82,2025-03-29 13:43:35.989
ABCF0007,3,81,2025-03-29 13:43:35.990
ABCF0007,3,77,2025-03-29 13:43:36.900
ABCF0001,3,80,2025-03-29 13:43:36.901
ABCF0007,1,74,2025-03-29 13:43:36.903
ABCF0007,3,75,2025-03-29 13:43:36.904
ABCF0007,3,75,2025-03-29 13:43:36.906
ABCF0007,1,74,2025-03-29 13:43:36.907
ABCF0007,3,78,2025-03-29 13:43:36.908
ABCF0001,3,80,2025-03-29 13:43:37.541
ABCF0001,3,80,2025-03-29 13:43:37.547
ABCF0007,3,76,2025-03-29 13:43:37.552
ABCF0007,1,74,2025-03-29 13:43:37.554
ABCF0007,3,80,2025-03-29 13:43:37.556
ABCF0001,3,81,2025-03-29 13:43:37.559
ABCF0007,3,80,2025-03-29 13:43:37.562
ABCF0001,3,80,2025-03-29 13:43:38.241
ABCF0007,1,73,2025-03-29 13:43:38.242
ABCF0001,3,79,2025-03-29 13:43:38.244
ABCF0007,3,77,2025-03-29 13:43:38.246
ABCF0007,3,79,2025-03-29 13:43:38.249
ABCF0007,3,81,2025-03-29 13:43:38.251
ABCF0005,3,75,2025-03-29 13:43:38.254
ABCF0007,3,79,2025-03-29 13:43:39.270
ABCF0007,3,80,2025-03-29 13:43:39.273
ABCF0007,3,77,2025-03-29 13:43:39.275
ABCF0001,3,77,2025-03-29 13:43:39.279
ABCF0007,3,77,2025-03-29 13:43:39.280
ABCF0001,3,80,2025-03-29 13:43:39.282
ABCF0001,3,79,2025-03-29 13:43:40.168
ABCF0005,3,79,2025-03-29 13:43:40.171
ABCF0007,3,77,2025-03-29 13:43:40.174
ABCF0001,3,84,2025-03-29 13:43:40.176
ABCF0007,3,79,2025-03-29 13:43:40.178
ABCF0001,3,78,2025-03-29 13:43:40.181
ABCF0007,3,78,2025-03-29 13:43:40.183
ABCF0001,3,80,2025-03-29 13:43:41.174
ABCF0007,3,79,2025-03-29 13:43:41.175
ABCF0007,3,81,2025-03-29 13:43:41.178
ABCF0001,3,82,2025-03-29 13:43:41.180
ABCF0001,3,79,2025-03-29 13:43:41.183
ABCF0001,3,80,2025-03-29 13:43:41.185
ABCF0001,3,78,2025-03-29 13:43:41.912
ABCF0007,3,81,2025-03-29 13:43:41.914
ABCF0001,3,79,2025-03-29 13:43:41.916
ABCF0007,3,82,2025-03-29 13:43:41.918
ABCF0007,3,75,2025-03-29 13:43:41.920
ABCF0007,3,76,2025-03-29 13:43:41.922
ABCF0007,3,80,2025-03-29 13:43:41.924
ABCF0005,3,76,2025-03-29 13:43:43.765
ABCF0007,1,71,2025-03-29 13:43:43.768
ABCF0005,1,78,2025-03-29 13:43:43.769
ABCF0007,4,74,2025-03-29 13:43:43.771
ABCF0007,4,74,2025-03-29 13:43:43.773
ABCF0007,4,77,2025-03-29 13:43:44.396
ABCF0007,1,76,2025-03-29 13:43:44.397
ABCF0007,3,74,2025-03-29 13:43:44.399
ABCF0001,3,77,2025-03-29 13:43:44.401
ABCF0007,3,76,2025-03-29 13:43:44.403
ABCF0005,3,78,2025-03-29 13:43:44.405
ABCF0007,3,76,2025-03-29 13:43:44.917
ABCF0001,3,81,2025-03-29 13:43:44.921
ABCF0007,3,79,2025-03-29 13:43:44.925
ABCF0007,1,76,2025-03-29 13:43:44.928
ABCF0005,2,76,2025-03-29 13:43:44.931
ABCF0007,3,78,2025-03-29 13:43:44.935
ABCF0005,4,75,2025-03-29 13:43:44.937
ABCF0007,3,81,2025-03-29 13:43:46.047
ABCF0001,4,78,2025-03-29 13:43:46.049
ABCF0001,4,78,2025-03-29 13:43:46.051
ABCF0001,4,79,2025-03-29 13:43:46.054
ABCF0001,4,76,2025-03-29 13:43:46.056
ABCF0007,4,76,2025-03-29 13:43:46.058
ABCF0007,4,75,2025-03-29 13:43:47.627
ABCF0007,4,76,2025-03-29 13:43:47.629
ABCF0005,1,77,2025-03-29 13:43:47.632
ABCF0007,4,76,2025-03-29 13:43:47.634
ABCF0005,4,77,2025-03-29 13:43:47.636
ABCF0005,4,79,2025-03-29 13:43:47.639
ABCF0001,4,78,2025-03-29 13:43:48.268
ABCF0005,4,78,2025-03-29 13:43:48.270
ABCF0001,4,80,2025-03-29 13:43:48.274
ABCF0007,3,76,2025-03-29 13:43:48.276
ABCF0007,3,76,2025-03-29 13:43:48.278
ABCF0001,4,80,2025-03-29 13:43:48.280
ABCF0007,3,77,2025-03-29 13:43:48.283
ABCF0007,3,78,2025-03-29 13:43:49.068
ABCF0007,3,79,2025-03-29 13:43:49.072
ABCF0007,3,78,2025-03-29 13:43:49.076
ABCF0007,4,77,2025-03-29 13:43:49.081
ABCF0007,3,78,2025-03-29 13:43:49.085
ABCF0007,4,79,2025-03-29 13:43:49.089
ABCF0007,3,79,2025-03-29 13:43:49.092
ABCF0007,4,78,2025-03-29 13:43:49.806
ABCF0007,3,78,2025-03-29 13:43:49.814
ABCF0007,4,75,2025-03-29 13:43:49.821
ABCF0007,3,77,2025-03-29 13:43:49.824
ABCF0007,3,77,2025-03-29 13:43:49.828
ABCF0005,4,81,2025-03-29 13:43:49.832
ABCF0007,3,75,2025-03-29 13:43:49.835
ABCF0007,3,74,2025-03-29 13:43:50.816
ABCF0007,3,75,2025-03-29 13:43:50.820
ABCF0005,4,81,2025-03-29 13:43:50.823
ABCF0005,4,76,2025-03-29 13:43:50.825
ABCF0007,4,77,2025-03-29 13:43:50.827
ABCF0007,4,79,2025-03-29 13:43:50.829
ABCF0007,4,75,2025-03-29 13:43:51.815
ABCF0007,4,79,2025-03-29 13:43:51.816
ABCF0007,4,81,2025-03-29 13:43:51.818
ABCF0007,4,80,2025-03-29 13:43:51.820
