EPC,AntID,RSSI,Timestamp
ABCF0007,3,86,2025-03-29 13:40:35.811
ABCF0001,3,78,2025-03-29 13:40:35.817
ABCF0005,3,79,2025-03-29 13:40:35.819
ABCF0001,3,79,2025-03-29 13:40:35.821
ABCF0005,3,78,2025-03-29 13:40:35.823
ABCF0007,3,86,2025-03-29 13:40:35.824
ABCF0007,1,70,2025-03-29 13:40:35.825
ABCF0001,3,80,2025-03-29 13:40:36.411
ABCF0007,3,87,2025-03-29 13:40:36.412
ABCF0005,3,77,2025-03-29 13:40:36.415
ABCF0007,3,84,2025-03-29 13:40:36.417
ABCF0005,3,83,2025-03-29 13:40:36.419
ABCF0001,3,84,2025-03-29 13:40:36.420
ABCF0007,3,88,2025-03-29 13:40:36.421
ABCF0001,3,84,2025-03-29 13:40:36.954
ABCF0005,3,83,2025-03-29 13:40:36.956
ABCF0007,3,86,2025-03-29 13:40:36.960
ABCF0001,3,81,2025-03-29 13:40:36.963
ABCF0005,3,82,2025-03-29 13:40:36.964
ABCF0007,1,71,2025-03-29 13:40:36.967
ABCF0005,3,82,2025-03-29 13:40:36.969
ABCF0007,3,87,2025-03-29 13:40:37.452
ABCF0001,3,80,2025-03-29 13:40:37.454
ABCF0001,3,82,2025-03-29 13:40:37.456
ABCF0005,3,81,2025-03-29 13:40:37.458
ABCF0007,3,86,2025-03-29 13:40:37.460
ABCF0001,3,86,2025-03-29 13:40:37.465
ABCF0005,3,86,2025-03-29 13:40:37.467
ABCF0007,3,83,2025-03-29 13:40:37.956
ABCF0007,1,71,2025-03-29 13:40:37.958
ABCF0005,3,75,2025-03-29 13:40:37.960
ABCF0001,3,77,2025-03-29 13:40:37.962
ABCF0007,3,87,2025-03-29 13:40:37.964
ABCF0001,1,79,2025-03-29 13:40:37.966
ABCF0005,3,75,2025-03-29 13:40:37.968
ABCF0007,3,85,2025-03-29 13:40:38.538
ABCF0001,3,76,2025-03-29 13:40:38.539
ABCF0007,3,85,2025-03-29 13:40:38.541
ABCF0005,3,79,2025-03-29 13:40:38.543
ABCF0007,3,87,2025-03-29 13:40:38.545
ABCF0001,3,84,2025-03-29 13:40:38.548
ABCF0001,1,81,2025-03-29 13:40:38.550
ABCF0005,3,79,2025-03-29 13:40:39.039
ABCF0001,3,84,2025-03-29 13:40:39.043
ABCF0007,3,85,2025-03-29 13:40:39.047
ABCF0001,4,79,2025-03-29 13:40:39.051
ABCF0007,1,78,2025-03-29 13:40:39.053
ABCF0001,1,78,2025-03-29 13:40:39.056
ABCF0001,3,85,2025-03-29 13:40:39.059
ABCF0005,3,84,2025-03-29 13:40:39.501
ABCF0007,3,83,2025-03-29 13:40:39.505
ABCF0001,4,81,2025-03-29 13:40:39.509
ABCF0005,3,81,2025-03-29 13:40:39.513
ABCF0001,3,81,2025-03-29 13:40:39.517
ABCF0007,3,81,2025-03-29 13:40:39.526
ABCF0001,1,77,2025-03-29 13:40:39.527
ABCF0007,1,77,2025-03-29 13:40:39.965
ABCF0001,3,83,2025-03-29 13:40:39.970
ABCF0005,3,84,2025-03-29 13:40:39.972
ABCF0007,3,80,2025-03-29 13:40:39.974
ABCF0007,4,78,2025-03-29 13:40:39.977
ABCF0007,1,76,2025-03-29 13:40:39.979
ABCF0001,1,86,2025-03-29 13:40:39.981
ABCF0005,1,83,2025-03-29 13:40:40.407
ABCF0001,3,84,2025-03-29 13:40:40.409
ABCF0005,3,86,2025-03-29 13:40:40.413
ABCF0007,3,79,2025-03-29 13:40:40.415
ABCF0001,1,84,2025-03-29 13:40:40.416
ABCF0007,1,78,2025-03-29 13:40:40.419
ABCF0005,1,85,2025-03-29 13:40:40.421
ABCF0005,1,85,2025-03-29 13:40:40.848
ABCF0007,1,81,2025-03-29 13:40:40.852
ABCF0001,1,84,2025-03-29 13:40:40.855
ABCF0001,3,84,2025-03-29 13:40:40.857
ABCF0005,3,88,2025-03-29 13:40:40.859
ABCF0007,3,79,2025-03-29 13:40:40.861
ABCF0005,1,80,2025-03-29 13:40:40.864
ABCF0007,1,81,2025-03-29 13:40:41.293
ABCF0001,1,82,2025-03-29 13:40:41.295
ABCF0005,3,81,2025-03-29 13:40:41.299
ABCF0007,3,90,2025-03-29 13:40:41.304
ABCF0001,3,89,2025-03-29 13:40:41.307
ABCF0007,1,84,2025-03-29 13:40:41.309
ABCF0005,1,84,2025-03-29 13:40:41.311
ABCF0001,1,84,2025-03-29 13:40:41.733
ABCF0007,1,84,2025-03-29 13:40:41.735
ABCF0001,1,84,2025-03-29 13:40:41.740
ABCF0005,1,84,2025-03-29 13:40:41.741
ABCF0007,3,86,2025-03-29 13:40:41.744
ABCF0001,3,86,2025-03-29 13:40:41.746
ABCF0005,4,77,2025-03-29 13:40:41.749
ABCF0001,1,79,2025-03-29 13:40:42.178
ABCF0007,1,85,2025-03-29 13:40:42.180
ABCF0005,1,82,2025-03-29 13:40:42.182
ABCF0005,1,82,2025-03-29 13:40:42.184
ABCF0001,1,81,2025-03-29 13:40:42.186
ABCF0007,1,84,2025-03-29 13:40:42.188
ABCF0007,3,88,2025-03-29 13:40:42.191
ABCF0001,3,82,2025-03-29 13:40:42.648
ABCF0005,4,80,2025-03-29 13:40:42.650
ABCF0005,1,81,2025-03-29 13:40:42.651
ABCF0001,1,81,2025-03-29 13:40:42.654
ABCF0001,1,81,2025-03-29 13:40:42.657
ABCF0005,3,81,2025-03-29 13:40:42.658
ABCF0001,3,80,2025-03-29 13:40:42.661
ABCF0007,3,79,2025-03-29 13:40:43.072
ABCF0005,4,80,2025-03-29 13:40:43.074
ABCF0001,1,78,2025-03-29 13:40:43.076
ABCF0007,1,84,2025-03-29 13:40:43.078
ABCF0005,1,79,2025-03-29 13:40:43.080
ABCF0007,1,84,2025-03-29 13:40:43.082
ABCF0005,1,78,2025-03-29 13:40:43.084
ABCF0001,3,82,2025-03-29 13:40:43.535
ABCF0007,3,85,2025-03-29 13:40:43.537
ABCF0005,4,79,2025-03-29 13:40:43.540
ABCF0001,1,77,2025-03-29 13:40:43.542
ABCF0007,1,84,2025-03-29 13:40:43.544
ABCF0005,1,77,2025-03-29 13:40:43.546
ABCF0007,1,84,2025-03-29 13:40:43.548
ABCF0007,3,83,2025-03-29 13:40:43.998
ABCF0001,3,81,2025-03-29 13:40:44.000
ABCF0005,4,79,2025-03-29 13:40:44.003
ABCF0007,1,83,2025-03-29 13:40:44.005
ABCF0005,1,75,2025-03-29 13:40:44.008
ABCF0001,1,77,2025-03-29 13:40:44.010
ABCF0007,1,84,2025-03-29 13:40:44.012
ABCF0007,3,79,2025-03-29 13:40:44.463
ABCF0005,3,80,2025-03-29 13:40:44.464
ABCF0005,4,79,2025-03-29 13:40:44.466
ABCF0007,1,81,2025-03-29 13:40:44.469
ABCF0005,1,75,2025-03-29 13:40:44.471
ABCF0001,1,77,2025-03-29 13:40:44.474
ABCF0007,1,80,2025-03-29 13:40:44.476
ABCF0001,1,78,2025-03-29 13:40:44.925
ABCF0007,3,84,2025-03-29 13:40:44.928
ABCF0007,4,76,2025-03-29 13:40:44.930
ABCF0005,4,80,2025-03-29 13:40:44.932
ABCF0007,1,80,2025-03-29 13:40:44.934
ABCF0007,1,81,2025-03-29 13:40:44.936
ABCF0001,1,80,2025-03-29 13:40:44.938
ABCF0007,3,77,2025-03-29 13:40:45.392
ABCF0007,4,82,2025-03-29 13:40:45.395
ABCF0001,4,80,2025-03-29 13:40:45.398
ABCF0005,4,79,2025-03-29 13:40:45.400
ABCF0007,1,84,2025-03-29 13:40:45.402
ABCF0001,1,81,2025-03-29 13:40:45.404
ABCF0005,1,78,2025-03-29 13:40:45.408
ABCF0001,3,82,2025-03-29 13:40:45.895
ABCF0007,3,78,2025-03-29 13:40:45.897
ABCF0007,4,75,2025-03-29 13:40:45.901
ABCF0005,1,81,2025-03-29 13:40:45.903
ABCF0001,1,81,2025-03-29 13:40:45.906
ABCF0007,3,80,2025-03-29 13:40:45.908
ABCF0005,1,83,2025-03-29 13:40:45.910
ABCF0007,1,78,2025-03-29 13:40:46.339
ABCF0001,1,82,2025-03-29 13:40:46.341
ABCF0007,3,73,2025-03-29 13:40:46.345
ABCF0001,3,82,2025-03-29 13:40:46.347
ABCF0005,3,77,2025-03-29 13:40:46.350
ABCF0007,4,75,2025-03-29 13:40:46.352
ABCF0007,1,81,2025-03-29 13:40:46.354
ABCF0005,1,82,2025-03-29 13:40:46.862
ABCF0001,1,81,2025-03-29 13:40:46.870
ABCF0007,1,81,2025-03-29 13:40:46.872
ABCF0007,2,77,2025-03-29 13:40:46.874
ABCF0007,3,77,2025-03-29 13:40:46.876
ABCF0001,3,81,2025-03-29 13:40:46.878
ABCF0007,1,82,2025-03-29 13:40:46.880
ABCF0001,3,83,2025-03-29 13:40:47.344
ABCF0007,3,79,2025-03-29 13:40:47.346
ABCF0005,1,81,2025-03-29 13:40:47.349
ABCF0001,1,78,2025-03-29 13:40:47.351
ABCF0007,1,82,2025-03-29 13:40:47.354
ABCF0007,2,77,2025-03-29 13:40:47.358
ABCF0007,1,83,2025-03-29 13:40:47.360
ABCF0001,1,78,2025-03-29 13:40:47.786
ABCF0005,1,80,2025-03-29 13:40:47.789
ABCF0001,3,83,2025-03-29 13:40:47.792
ABCF0005,3,79,2025-03-29 13:40:47.795
ABCF0007,3,78,2025-03-29 13:40:47.798
ABCF0005,4,76,2025-03-29 13:40:47.802
ABCF0007,1,83,2025-03-29 13:40:47.804
ABCF0005,1,78,2025-03-29 13:40:48.248
ABCF0007,1,81,2025-03-29 13:40:48.253
ABCF0007,2,74,2025-03-29 13:40:48.255
ABCF0001,3,80,2025-03-29 13:40:48.258
ABCF0007,3,80,2025-03-29 13:40:48.260
ABCF0005,1,76,2025-03-29 13:40:48.262
ABCF0007,1,83,2025-03-29 13:40:48.264
ABCF0007,1,82,2025-03-29 13:40:48.811
ABCF0001,3,81,2025-03-29 13:40:48.813
ABCF0007,3,82,2025-03-29 13:40:48.814
ABCF0007,1,79,2025-03-29 13:40:48.817
ABCF0005,2,77,2025-03-29 13:40:48.819
ABCF0007,3,77,2025-03-29 13:40:48.821
ABCF0007,1,82,2025-03-29 13:40:48.823
ABCF0007,1,81,2025-03-29 13:40:50.030
ABCF0007,1,80,2025-03-29 13:40:50.034
ABCF0007,3,75,2025-03-29 13:40:50.038
ABCF0005,4,75,2025-03-29 13:40:50.041
ABCF0007,3,72,2025-03-29 13:40:50.044
ABCF0007,3,73,2025-03-29 13:40:50.047
ABCF0001,2,79,2025-03-29 13:40:50.854
ABCF0005,4,75,2025-03-29 13:40:50.857
ABCF0007,1,77,2025-03-29 13:40:50.859
ABCF0001,2,83,2025-03-29 13:40:50.861
ABCF0007,1,75,2025-03-29 13:40:50.863
ABCF0007,1,79,2025-03-29 13:40:50.866
ABCF0007,2,79,2025-03-29 13:40:51.395
ABCF0001,2,79,2025-03-29 13:40:51.397
ABCF0005,4,77,2025-03-29 13:40:51.399
ABCF0007,1,76,2025-03-29 13:40:51.401
ABCF0007,1,80,2025-03-29 13:40:51.403
ABCF0001,2,80,2025-03-29 13:40:51.406
