EPC,AntID,RSSI,Timestamp
ABCF0001,1,81,2025-03-29 16:14:09.165
ABCF0005,1,82,2025-03-29 16:14:09.170
ABCF0005,2,80,2025-03-29 16:14:09.172
ABCF0007,2,74,2025-03-29 16:14:09.174
ABCF0001,4,79,2025-03-29 16:14:09.175
ABCF0007,4,82,2025-03-29 16:14:09.177
ABCF0005,1,84,2025-03-29 16:14:09.178
ABCF0007,3,76,2025-03-29 16:14:09.666
ABCF0005,3,84,2025-03-29 16:14:09.667
ABCF0001,1,79,2025-03-29 16:14:09.669
ABCF0005,1,81,2025-03-29 16:14:09.671
ABCF0005,2,83,2025-03-29 16:14:09.672
ABCF0007,4,81,2025-03-29 16:14:09.674
ABCF0005,1,80,2025-03-29 16:14:09.675
ABCF0005,1,82,2025-03-29 16:14:10.368
ABCF0005,1,82,2025-03-29 16:14:10.369
ABCF0005,2,83,2025-03-29 16:14:10.371
ABCF0005,1,81,2025-03-29 16:14:10.372
ABCF0005,2,81,2025-03-29 16:14:10.373
ABCF0005,1,81,2025-03-29 16:14:10.375
ABCF0005,2,82,2025-03-29 16:14:10.376
ABCF0005,3,82,2025-03-29 16:14:10.990
ABCF0007,4,80,2025-03-29 16:14:10.991
ABCF0007,4,79,2025-03-29 16:14:10.993
ABCF0007,3,75,2025-03-29 16:14:10.996
ABCF0001,1,85,2025-03-29 16:14:10.998
ABCF0007,3,85,2025-03-29 16:14:11.000
ABCF0007,4,80,2025-03-29 16:14:11.003
ABCF0001,4,86,2025-03-29 16:14:11.432
ABCF0005,1,85,2025-03-29 16:14:11.434
ABCF0001,1,92,2025-03-29 16:14:11.437
ABCF0007,3,86,2025-03-29 16:14:11.439
ABCF0001,1,91,2025-03-29 16:14:11.441
ABCF0005,1,89,2025-03-29 16:14:11.443
ABCF0007,1,75,2025-03-29 16:14:11.444
ABCF0007,3,80,2025-03-29 16:14:11.955
ABCF0005,4,83,2025-03-29 16:14:11.957
ABCF0007,4,80,2025-03-29 16:14:11.960
ABCF0005,1,82,2025-03-29 16:14:11.962
ABCF0001,1,79,2025-03-29 16:14:11.965
ABCF0001,1,82,2025-03-29 16:14:11.967
ABCF0007,4,83,2025-03-29 16:14:11.970
ABCF0001,4,82,2025-03-29 16:14:12.497
ABCF0001,1,84,2025-03-29 16:14:12.504
ABCF0001,4,84,2025-03-29 16:14:12.511
ABCF0007,4,82,2025-03-29 16:14:12.515
ABCF0001,1,86,2025-03-29 16:14:12.518
ABCF0001,1,86,2025-03-29 16:14:12.521
ABCF0001,4,83,2025-03-29 16:14:12.524
ABCF0001,1,85,2025-03-29 16:14:13.041
ABCF0007,4,81,2025-03-29 16:14:13.045
ABCF0001,4,86,2025-03-29 16:14:13.049
ABCF0001,1,91,2025-03-29 16:14:13.053
ABCF0001,1,90,2025-03-29 16:14:13.057
ABCF0007,4,79,2025-03-29 16:14:13.060
ABCF0001,4,89,2025-03-29 16:14:13.063
ABCF0001,1,90,2025-03-29 16:14:13.528
ABCF0005,1,84,2025-03-29 16:14:13.530
ABCF0007,4,75,2025-03-29 16:14:13.532
ABCF0001,4,78,2025-03-29 16:14:13.534
ABCF0001,1,91,2025-03-29 16:14:13.536
ABCF0005,1,83,2025-03-29 16:14:13.538
ABCF0001,1,87,2025-03-29 16:14:13.543
ABCF0005,1,88,2025-03-29 16:14:14.050
