EPC,AntID,RSSI,Timestamp
ABCF0001,3,89,2025-03-29 16:08:37.055
ABCF0005,3,81,2025-03-29 16:08:37.062
ABCF0001,3,89,2025-03-29 16:08:37.064
ABCF0005,3,83,2025-03-29 16:08:37.065
ABCF0001,3,88,2025-03-29 16:08:37.067
ABCF0001,3,86,2025-03-29 16:08:37.068
ABCF0001,3,86,2025-03-29 16:08:37.069
ABCF0001,3,87,2025-03-29 16:08:37.788
ABCF0001,3,86,2025-03-29 16:08:37.789
ABCF0001,3,85,2025-03-29 16:08:37.791
ABCF0001,3,89,2025-03-29 16:08:37.793
ABCF0005,3,81,2025-03-29 16:08:37.794
ABCF0001,3,87,2025-03-29 16:08:37.795
ABCF0005,3,83,2025-03-29 16:08:37.796
ABCF0001,3,86,2025-03-29 16:08:38.593
ABCF0005,3,83,2025-03-29 16:08:38.595
ABCF0001,3,88,2025-03-29 16:08:38.597
ABCF0001,3,87,2025-03-29 16:08:38.599
ABCF0005,3,84,2025-03-29 16:08:38.601
ABCF0001,3,87,2025-03-29 16:08:38.605
ABCF0001,3,88,2025-03-29 16:08:38.606
ABCF0005,3,82,2025-03-29 16:08:39.392
ABCF0001,3,86,2025-03-29 16:08:39.394
ABCF0001,3,87,2025-03-29 16:08:39.396
ABCF0001,3,86,2025-03-29 16:08:39.398
ABCF0001,3,86,2025-03-29 16:08:39.401
ABCF0005,3,79,2025-03-29 16:08:39.402
ABCF0001,3,83,2025-03-29 16:08:39.405
ABCF0007,2,75,2025-03-29 16:08:39.994
ABCF0007,3,77,2025-03-29 16:08:39.996
ABCF0005,3,81,2025-03-29 16:08:39.998
ABCF0007,3,80,2025-03-29 16:08:40.000
ABCF0005,3,80,2025-03-29 16:08:40.002
ABCF0001,1,81,2025-03-29 16:08:40.005
ABCF0007,3,74,2025-03-29 16:08:40.006
ABCF0001,3,88,2025-03-29 16:08:40.837
ABCF0001,3,89,2025-03-29 16:08:40.839
ABCF0001,1,84,2025-03-29 16:08:40.841
ABCF0001,3,84,2025-03-29 16:08:40.844
ABCF0001,1,82,2025-03-29 16:08:40.846
ABCF0001,3,81,2025-03-29 16:08:40.848
ABCF0005,3,85,2025-03-29 16:08:41.897
ABCF0005,3,79,2025-03-29 16:08:41.899
ABCF0007,3,73,2025-03-29 16:08:41.901
ABCF0001,3,79,2025-03-29 16:08:41.904
ABCF0007,3,78,2025-03-29 16:08:41.908
ABCF0007,3,78,2025-03-29 16:08:41.910
ABCF0005,3,80,2025-03-29 16:08:42.753
ABCF0007,3,77,2025-03-29 16:08:42.755
ABCF0007,3,75,2025-03-29 16:08:42.757
ABCF0005,3,81,2025-03-29 16:08:42.760
ABCF0007,3,77,2025-03-29 16:08:42.762
ABCF0007,3,74,2025-03-29 16:08:42.764
ABCF0007,3,75,2025-03-29 16:08:42.767
ABCF0005,3,84,2025-03-29 16:08:43.321
ABCF0001,3,86,2025-03-29 16:08:43.322
ABCF0007,3,76,2025-03-29 16:08:43.325
ABCF0001,3,84,2025-03-29 16:08:43.328
ABCF0005,3,80,2025-03-29 16:08:43.330
ABCF0007,3,78,2025-03-29 16:08:43.332
ABCF0001,2,79,2025-03-29 16:08:43.962
ABCF0007,1,76,2025-03-29 16:08:43.964
ABCF0001,3,85,2025-03-29 16:08:43.966
ABCF0005,3,81,2025-03-29 16:08:43.969
ABCF0001,3,84,2025-03-29 16:08:43.971
ABCF0007,1,76,2025-03-29 16:08:43.974
ABCF0001,2,80,2025-03-29 16:08:43.977
ABCF0001,3,82,2025-03-29 16:08:44.485
ABCF0005,1,79,2025-03-29 16:08:44.488
ABCF0007,1,78,2025-03-29 16:08:44.491
ABCF0001,3,81,2025-03-29 16:08:44.494
ABCF0005,4,82,2025-03-29 16:08:44.497
ABCF0001,4,77,2025-03-29 16:08:44.498
ABCF0007,1,75,2025-03-29 16:08:44.501
ABCF0007,3,78,2025-03-29 16:08:45.008
ABCF0005,4,79,2025-03-29 16:08:45.010
ABCF0005,1,79,2025-03-29 16:08:45.012
ABCF0007,1,74,2025-03-29 16:08:45.014
ABCF0007,3,77,2025-03-29 16:08:45.017
ABCF0005,4,81,2025-03-29 16:08:45.019
ABCF0007,1,74,2025-03-29 16:08:45.021
ABCF0005,1,81,2025-03-29 16:08:45.551
ABCF0005,1,79,2025-03-29 16:08:45.555
ABCF0007,1,77,2025-03-29 16:08:45.560
ABCF0005,1,81,2025-03-29 16:08:45.563
ABCF0007,1,74,2025-03-29 16:08:45.566
ABCF0005,1,79,2025-03-29 16:08:45.569
ABCF0007,3,78,2025-03-29 16:08:45.572
ABCF0005,1,79,2025-03-29 16:08:46.113
ABCF0007,2,76,2025-03-29 16:08:46.114
ABCF0001,2,81,2025-03-29 16:08:46.123
ABCF0001,3,81,2025-03-29 16:08:46.125
ABCF0007,2,75,2025-03-29 16:08:46.127
ABCF0001,2,79,2025-03-29 16:08:46.130
ABCF0007,3,76,2025-03-29 16:08:46.132
ABCF0001,3,80,2025-03-29 16:08:46.619
ABCF0005,1,81,2025-03-29 16:08:46.621
ABCF0007,1,78,2025-03-29 16:08:46.623
ABCF0005,4,79,2025-03-29 16:08:46.626
ABCF0005,1,81,2025-03-29 16:08:46.628
ABCF0007,1,75,2025-03-29 16:08:46.630
ABCF0007,1,75,2025-03-29 16:08:46.634
ABCF0005,1,81,2025-03-29 16:08:47.395
ABCF0001,3,81,2025-03-29 16:08:47.397
ABCF0001,3,82,2025-03-29 16:08:47.399
ABCF0005,1,80,2025-03-29 16:08:47.401
ABCF0001,3,81,2025-03-29 16:08:47.403
ABCF0005,2,79,2025-03-29 16:08:47.405
ABCF0001,3,82,2025-03-29 16:08:47.408
ABCF0007,4,77,2025-03-29 16:08:48.039
ABCF0001,3,83,2025-03-29 16:08:48.042
ABCF0005,1,80,2025-03-29 16:08:48.045
ABCF0005,2,81,2025-03-29 16:08:48.048
ABCF0007,1,74,2025-03-29 16:08:48.051
ABCF0001,3,79,2025-03-29 16:08:48.053
ABCF0005,1,80,2025-03-29 16:08:48.055
ABCF0001,3,79,2025-03-29 16:08:48.601
ABCF0005,4,79,2025-03-29 16:08:48.602
ABCF0007,1,72,2025-03-29 16:08:48.605
ABCF0001,3,81,2025-03-29 16:08:48.608
ABCF0001,2,80,2025-03-29 16:08:48.609
ABCF0007,2,73,2025-03-29 16:08:48.612
ABCF0001,1,81,2025-03-29 16:08:48.614
ABCF0001,3,81,2025-03-29 16:08:49.262
ABCF0007,3,77,2025-03-29 16:08:49.264
ABCF0005,1,83,2025-03-29 16:08:49.266
ABCF0005,1,83,2025-03-29 16:08:49.268
ABCF0007,3,75,2025-03-29 16:08:49.271
ABCF0005,1,79,2025-03-29 16:08:49.273
ABCF0007,1,75,2025-03-29 16:08:49.276
ABCF0001,1,79,2025-03-29 16:08:49.763
ABCF0005,1,81,2025-03-29 16:08:49.764
ABCF0007,1,73,2025-03-29 16:08:49.767
ABCF0005,1,81,2025-03-29 16:08:49.769
ABCF0007,1,72,2025-03-29 16:08:49.770
ABCF0007,2,76,2025-03-29 16:08:49.773
ABCF0007,3,76,2025-03-29 16:08:49.775
ABCF0001,1,80,2025-03-29 16:08:50.404
ABCF0005,1,81,2025-03-29 16:08:50.406
ABCF0007,1,74,2025-03-29 16:08:50.409
ABCF0007,2,76,2025-03-29 16:08:50.411
ABCF0001,2,80,2025-03-29 16:08:50.413
