EPC,AntID,RSSI,Timestamp
ABCF0007,1,75,2025-03-29 16:11:30.244
ABCF0001,2,87,2025-03-29 16:11:30.250
ABCF0007,2,82,2025-03-29 16:11:30.252
ABCF0005,2,83,2025-03-29 16:11:30.253
ABCF0005,2,83,2025-03-29 16:11:30.253
ABCF0001,2,87,2025-03-29 16:11:30.255
ABCF0007,2,80,2025-03-29 16:11:30.256
ABCF0007,3,78,2025-03-29 16:11:30.702
ABCF0007,1,75,2025-03-29 16:11:30.703
ABCF0005,2,83,2025-03-29 16:11:30.704
ABCF0007,2,76,2025-03-29 16:11:30.706
ABCF0001,2,87,2025-03-29 16:11:30.707
ABCF0007,3,76,2025-03-29 16:11:30.708
ABCF0007,4,76,2025-03-29 16:11:30.709
ABCF0005,4,79,2025-03-29 16:11:31.205
ABCF0007,1,75,2025-03-29 16:11:31.206
ABCF0005,2,83,2025-03-29 16:11:31.207
ABCF0001,2,87,2025-03-29 16:11:31.208
ABCF0007,2,81,2025-03-29 16:11:31.210
ABCF0007,3,75,2025-03-29 16:11:31.211
ABCF0005,2,84,2025-03-29 16:11:31.212
ABCF0007,2,79,2025-03-29 16:11:31.666
ABCF0001,2,88,2025-03-29 16:11:31.668
ABCF0007,3,77,2025-03-29 16:11:31.671
ABCF0001,2,87,2025-03-29 16:11:31.673
ABCF0007,2,77,2025-03-29 16:11:31.675
ABCF0007,3,77,2025-03-29 16:11:31.678
ABCF0007,4,75,2025-03-29 16:11:31.680
ABCF0005,4,80,2025-03-29 16:11:32.110
ABCF0001,2,87,2025-03-29 16:11:32.112
ABCF0007,2,75,2025-03-29 16:11:32.113
ABCF0005,2,84,2025-03-29 16:11:32.114
ABCF0007,1,74,2025-03-29 16:11:32.117
ABCF0007,2,80,2025-03-29 16:11:32.120
ABCF0001,2,87,2025-03-29 16:11:32.122
ABCF0007,3,76,2025-03-29 16:11:32.596
ABCF0007,4,76,2025-03-29 16:11:32.600
ABCF0005,4,81,2025-03-29 16:11:32.607
ABCF0007,2,82,2025-03-29 16:11:32.610
ABCF0001,2,86,2025-03-29 16:11:32.614
ABCF0005,2,84,2025-03-29 16:11:32.616
ABCF0007,2,79,2025-03-29 16:11:32.619
ABCF0005,2,85,2025-03-29 16:11:33.059
ABCF0001,2,86,2025-03-29 16:11:33.060
ABCF0007,4,75,2025-03-29 16:11:33.062
ABCF0005,4,79,2025-03-29 16:11:33.064
ABCF0005,2,82,2025-03-29 16:11:33.067
ABCF0007,2,75,2025-03-29 16:11:33.069
ABCF0001,2,86,2025-03-29 16:11:33.072
ABCF0007,3,75,2025-03-29 16:11:33.544
ABCF0005,4,82,2025-03-29 16:11:33.546
ABCF0007,4,77,2025-03-29 16:11:33.549
ABCF0007,2,82,2025-03-29 16:11:33.552
