EPC,AntID,RSSI,Timestamp
ABCF0001,3,79,2025-03-29 16:02:33.110
ABCF0007,3,74,2025-03-29 16:02:33.115
ABCF0007,3,74,2025-03-29 16:02:33.116
ABCF0007,3,75,2025-03-29 16:02:33.118
ABCF0007,3,74,2025-03-29 16:02:33.119
ABCF0007,2,74,2025-03-29 16:02:33.121
ABCF0007,2,73,2025-03-29 16:02:35.082
ABCF0007,3,75,2025-03-29 16:02:35.083
ABCF0007,2,72,2025-03-29 16:02:35.084
ABCF0007,3,72,2025-03-29 16:02:38.095
ABCF0007,3,73,2025-03-29 16:02:38.096
ABCF0007,3,72,2025-03-29 16:02:41.027
ABCF0005,2,78,2025-03-29 16:02:41.027
ABCF0007,1,72,2025-03-29 16:02:41.029
ABCF0007,1,72,2025-03-29 16:02:42.684
ABCF0007,1,73,2025-03-29 16:02:42.686
ABCF0007,1,73,2025-03-29 16:02:42.688
ABCF0007,1,73,2025-03-29 16:02:42.690
ABCF0007,1,73,2025-03-29 16:02:44.726
ABCF0007,1,73,2025-03-29 16:02:44.810
ABCF0007,1,73,2025-03-29 16:02:44.812
ABCF0007,1,74,2025-03-29 16:02:44.818
ABCF0007,1,72,2025-03-29 16:02:47.249
ABCF0007,1,76,2025-03-29 16:02:47.250
ABCF0007,1,74,2025-03-29 16:02:47.253
ABCF0007,1,74,2025-03-29 16:02:49.437
ABCF0007,1,76,2025-03-29 16:02:49.439
ABCF0007,2,73,2025-03-29 16:02:49.442
ABCF0007,2,74,2025-03-29 16:02:49.444
ABCF0007,2,77,2025-03-29 16:02:51.890
ABCF0007,1,74,2025-03-29 16:02:51.891
ABCF0005,4,80,2025-03-29 16:02:51.894
ABCF0007,2,76,2025-03-29 16:02:53.260
ABCF0005,4,81,2025-03-29 16:02:53.261
ABCF0001,4,77,2025-03-29 16:02:53.264
ABCF0005,4,86,2025-03-29 16:02:53.267
ABCF0005,4,85,2025-03-29 16:02:53.269
ABCF0005,4,81,2025-03-29 16:02:53.271
ABCF0001,3,79,2025-03-29 16:02:54.013
ABCF0007,2,73,2025-03-29 16:02:54.014
ABCF0005,4,85,2025-03-29 16:02:54.016
ABCF0001,4,84,2025-03-29 16:02:54.018
ABCF0005,4,86,2025-03-29 16:02:54.021
ABCF0001,4,85,2025-03-29 16:02:54.023
ABCF0007,3,76,2025-03-29 16:02:54.650
ABCF0005,4,83,2025-03-29 16:02:54.651
ABCF0001,4,85,2025-03-29 16:02:54.653
ABCF0001,3,79,2025-03-29 16:02:54.656
ABCF0007,3,77,2025-03-29 16:02:54.658
ABCF0007,3,75,2025-03-29 16:02:54.660
ABCF0001,4,81,2025-03-29 16:02:55.291
ABCF0001,3,79,2025-03-29 16:02:55.293
ABCF0005,4,83,2025-03-29 16:02:55.295
ABCF0001,4,86,2025-03-29 16:02:55.297
ABCF0001,4,86,2025-03-29 16:02:55.300
ABCF0005,4,81,2025-03-29 16:02:55.301
ABCF0001,4,87,2025-03-29 16:02:55.304
ABCF0005,4,80,2025-03-29 16:02:55.949
ABCF0001,3,79,2025-03-29 16:02:55.951
ABCF0005,4,79,2025-03-29 16:02:55.954
ABCF0001,4,86,2025-03-29 16:02:55.955
ABCF0001,4,87,2025-03-29 16:02:55.957
ABCF0001,3,78,2025-03-29 16:02:55.960
ABCF0001,4,87,2025-03-29 16:02:55.962
ABCF0001,4,86,2025-03-29 16:02:57.079
ABCF0001,4,84,2025-03-29 16:02:57.081
ABCF0001,4,83,2025-03-29 16:02:57.083
ABCF0001,4,81,2025-03-29 16:02:57.085
ABCF0001,4,81,2025-03-29 16:02:57.087
ABCF0001,4,82,2025-03-29 16:02:57.089
ABCF0001,4,82,2025-03-29 16:02:58.302
ABCF0001,4,82,2025-03-29 16:02:58.304
ABCF0001,4,82,2025-03-29 16:02:58.306
ABCF0001,4,81,2025-03-29 16:02:58.308
ABCF0001,4,81,2025-03-29 16:02:58.310
ABCF0001,4,83,2025-03-29 16:02:58.313
ABCF0001,4,82,2025-03-29 16:02:59.391
ABCF0001,4,83,2025-03-29 16:02:59.393
ABCF0001,4,85,2025-03-29 16:02:59.395
ABCF0001,3,78,2025-03-29 16:02:59.398
ABCF0001,4,83,2025-03-29 16:02:59.400
ABCF0001,3,80,2025-03-29 16:02:59.402
ABCF0001,4,80,2025-03-29 16:03:00.105
ABCF0001,3,79,2025-03-29 16:03:00.107
ABCF0001,4,86,2025-03-29 16:03:00.109
ABCF0001,3,81,2025-03-29 16:03:00.112
ABCF0001,3,79,2025-03-29 16:03:00.114
ABCF0001,4,86,2025-03-29 16:03:00.116
ABCF0005,2,82,2025-03-29 16:03:00.119
ABCF0007,3,76,2025-03-29 16:03:00.862
ABCF0001,3,80,2025-03-29 16:03:00.864
ABCF0001,4,85,2025-03-29 16:03:00.866
ABCF0005,2,80,2025-03-29 16:03:00.869
ABCF0005,2,78,2025-03-29 16:03:00.871
ABCF0007,3,75,2025-03-29 16:03:00.872
ABCF0001,4,81,2025-03-29 16:03:00.874
ABCF0001,3,80,2025-03-29 16:03:01.986
ABCF0001,3,77,2025-03-29 16:03:01.987
ABCF0001,3,81,2025-03-29 16:03:01.989
ABCF0007,1,77,2025-03-29 16:03:01.992
ABCF0007,1,75,2025-03-29 16:03:01.993
ABCF0007,2,78,2025-03-29 16:03:01.997
ABCF0007,1,74,2025-03-29 16:03:04.359
ABCF0007,1,76,2025-03-29 16:03:04.361
ABCF0007,2,73,2025-03-29 16:03:04.363
ABCF0007,1,75,2025-03-29 16:03:04.365
ABCF0001,3,81,2025-03-29 16:03:05.970
ABCF0001,3,80,2025-03-29 16:03:05.972
ABCF0001,3,80,2025-03-29 16:03:05.974
ABCF0007,1,75,2025-03-29 16:03:05.977
ABCF0007,3,75,2025-03-29 16:03:09.213
ABCF0001,3,78,2025-03-29 16:03:09.215
ABCF0007,2,74,2025-03-29 16:03:10.216
ABCF0001,3,79,2025-03-29 16:03:10.217
ABCF0001,3,80,2025-03-29 16:03:10.219
ABCF0001,3,80,2025-03-29 16:03:10.221
ABCF0001,3,83,2025-03-29 16:03:10.224
ABCF0001,3,84,2025-03-29 16:03:10.226
ABCF0005,3,80,2025-03-29 16:03:11.035
ABCF0005,3,79,2025-03-29 16:03:11.037
ABCF0001,3,82,2025-03-29 16:03:11.039
ABCF0005,3,80,2025-03-29 16:03:11.042
ABCF0007,3,77,2025-03-29 16:03:11.044
ABCF0007,3,78,2025-03-29 16:03:11.048
ABCF0001,3,84,2025-03-29 16:03:11.050
ABCF0001,3,83,2025-03-29 16:03:11.909
ABCF0001,3,83,2025-03-29 16:03:11.911
ABCF0007,1,71,2025-03-29 16:03:11.913
ABCF0007,3,78,2025-03-29 16:03:11.917
ABCF0001,3,82,2025-03-29 16:03:11.919
ABCF0001,3,81,2025-03-29 16:03:11.921
ABCF0007,3,76,2025-03-29 16:03:11.923
ABCF0001,3,77,2025-03-29 16:03:12.743
ABCF0007,3,73,2025-03-29 16:03:12.746
ABCF0007,2,74,2025-03-29 16:03:12.748
ABCF0007,3,77,2025-03-29 16:03:12.751
ABCF0007,2,73,2025-03-29 16:03:12.753
ABCF0007,2,75,2025-03-29 16:03:12.755
ABCF0007,2,75,2025-03-29 16:03:14.235
ABCF0001,3,78,2025-03-29 16:03:14.238
ABCF0007,4,73,2025-03-29 16:03:14.240
ABCF0001,3,79,2025-03-29 16:03:14.242
ABCF0007,4,75,2025-03-29 16:03:14.245
ABCF0001,3,81,2025-03-29 16:03:15.043
ABCF0007,4,73,2025-03-29 16:03:15.045
ABCF0007,4,76,2025-03-29 16:03:15.047
ABCF0007,4,75,2025-03-29 16:03:15.049
ABCF0007,4,75,2025-03-29 16:03:15.051
ABCF0001,3,79,2025-03-29 16:03:15.053
ABCF0001,3,80,2025-03-29 16:03:15.055
ABCF0001,3,81,2025-03-29 16:03:15.805
ABCF0001,3,80,2025-03-29 16:03:15.806
ABCF0001,3,85,2025-03-29 16:03:15.809
ABCF0007,2,73,2025-03-29 16:03:15.812
ABCF0001,3,83,2025-03-29 16:03:15.814
ABCF0007,4,73,2025-03-29 16:03:15.817
ABCF0001,3,85,2025-03-29 16:03:15.819
ABCF0001,3,84,2025-03-29 16:03:16.683
ABCF0001,3,82,2025-03-29 16:03:16.685
ABCF0001,3,82,2025-03-29 16:03:16.687
ABCF0001,3,81,2025-03-29 16:03:16.690
ABCF0007,3,78,2025-03-29 16:03:16.692
ABCF0007,1,72,2025-03-29 16:03:16.694
ABCF0007,2,74,2025-03-29 16:03:16.697
ABCF0007,2,73,2025-03-29 16:03:17.498
ABCF0007,2,74,2025-03-29 16:03:17.502
ABCF0007,2,74,2025-03-29 16:03:17.507
ABCF0007,3,80,2025-03-29 16:03:17.510
ABCF0007,3,77,2025-03-29 16:03:17.513
ABCF0007,1,72,2025-03-29 16:03:17.515
ABCF0007,3,81,2025-03-29 16:03:18.296
ABCF0007,3,81,2025-03-29 16:03:18.298
ABCF0007,3,83,2025-03-29 16:03:18.301
ABCF0007,3,83,2025-03-29 16:03:18.303
ABCF0007,2,74,2025-03-29 16:03:18.305
ABCF0007,3,78,2025-03-29 16:03:18.307
ABCF0007,3,79,2025-03-29 16:03:18.309
ABCF0007,2,72,2025-03-29 16:03:19.119
ABCF0007,3,78,2025-03-29 16:03:19.120
ABCF0007,3,79,2025-03-29 16:03:19.123
ABCF0001,3,77,2025-03-29 16:03:19.125
ABCF0007,3,79,2025-03-29 16:03:19.127
ABCF0007,3,82,2025-03-29 16:03:19.129
ABCF0001,3,79,2025-03-29 16:03:19.132
ABCF0007,3,79,2025-03-29 16:03:19.863
ABCF0007,3,84,2025-03-29 16:03:19.864
ABCF0007,3,83,2025-03-29 16:03:19.867
ABCF0007,2,78,2025-03-29 16:03:19.869
ABCF0007,3,83,2025-03-29 16:03:19.871
ABCF0007,2,78,2025-03-29 16:03:19.874
ABCF0007,3,79,2025-03-29 16:03:19.876
ABCF0007,3,85,2025-03-29 16:03:20.682
ABCF0007,3,84,2025-03-29 16:03:20.683
ABCF0007,3,80,2025-03-29 16:03:20.686
ABCF0007,3,84,2025-03-29 16:03:20.687
ABCF0007,3,78,2025-03-29 16:03:20.689
ABCF0007,2,79,2025-03-29 16:03:20.692
ABCF0007,3,78,2025-03-29 16:03:20.694
ABCF0007,3,80,2025-03-29 16:03:21.440
ABCF0001,3,78,2025-03-29 16:03:21.442
ABCF0007,3,77,2025-03-29 16:03:21.445
ABCF0007,3,82,2025-03-29 16:03:21.446
ABCF0007,3,76,2025-03-29 16:03:21.448
ABCF0001,3,78,2025-03-29 16:03:21.451
ABCF0007,3,78,2025-03-29 16:03:21.453
ABCF0007,3,79,2025-03-29 16:03:23.120
ABCF0007,3,78,2025-03-29 16:03:23.123
ABCF0007,3,76,2025-03-29 16:03:23.127
ABCF0001,3,81,2025-03-29 16:03:23.131
ABCF0001,3,81,2025-03-29 16:03:23.133
ABCF0001,3,80,2025-03-29 16:03:23.136
ABCF0001,3,82,2025-03-29 16:03:25.160
ABCF0007,4,76,2025-03-29 16:03:25.162
ABCF0005,3,78,2025-03-29 16:03:25.164
ABCF0005,3,80,2025-03-29 16:03:25.167
ABCF0001,3,82,2025-03-29 16:03:26.253
ABCF0001,3,83,2025-03-29 16:03:26.255
ABCF0001,3,76,2025-03-29 16:03:26.257
ABCF0001,3,80,2025-03-29 16:03:26.260
ABCF0007,2,73,2025-03-29 16:03:26.262
ABCF0001,3,79,2025-03-29 16:03:26.264
ABCF0007,2,72,2025-03-29 16:03:28.739
ABCF0001,4,78,2025-03-29 16:03:28.741
ABCF0001,4,78,2025-03-29 16:03:28.744
ABCF0007,3,74,2025-03-29 16:03:30.017
ABCF0005,3,81,2025-03-29 16:03:30.019
ABCF0007,3,73,2025-03-29 16:03:30.021
ABCF0005,3,78,2025-03-29 16:03:30.023
ABCF0005,3,81,2025-03-29 16:03:30.025
ABCF0007,3,72,2025-03-29 16:03:32.269
ABCF0005,3,83,2025-03-29 16:03:32.271
ABCF0007,1,75,2025-03-29 16:03:32.273
ABCF0007,1,75,2025-03-29 16:03:33.724
ABCF0007,3,72,2025-03-29 16:03:33.726
ABCF0007,1,76,2025-03-29 16:03:33.729
ABCF0007,3,77,2025-03-29 16:03:33.732
ABCF0007,1,74,2025-03-29 16:03:33.734
ABCF0007,3,75,2025-03-29 16:03:36.672
ABCF0007,3,73,2025-03-29 16:03:36.674
ABCF0007,1,75,2025-03-29 16:03:36.676
ABCF0001,3,79,2025-03-29 16:03:38.522
ABCF0001,4,78,2025-03-29 16:03:38.524
ABCF0001,4,78,2025-03-29 16:03:38.529
ABCF0007,2,74,2025-03-29 16:03:38.533
ABCF0007,2,74,2025-03-29 16:03:39.675
ABCF0001,3,79,2025-03-29 16:03:39.677
ABCF0001,3,83,2025-03-29 16:03:39.679
ABCF0001,3,81,2025-03-29 16:03:39.682
ABCF0001,3,85,2025-03-29 16:03:39.684
ABCF0001,3,84,2025-03-29 16:03:39.685
ABCF0001,3,86,2025-03-29 16:03:40.331
ABCF0001,3,87,2025-03-29 16:03:40.333
ABCF0007,4,73,2025-03-29 16:03:40.335
ABCF0001,3,82,2025-03-29 16:03:40.338
ABCF0001,3,87,2025-03-29 16:03:40.339
ABCF0007,4,72,2025-03-29 16:03:40.341
ABCF0001,3,87,2025-03-29 16:03:41.151
ABCF0007,4,74,2025-03-29 16:03:41.153
ABCF0001,3,87,2025-03-29 16:03:41.155
ABCF0001,3,84,2025-03-29 16:03:41.157
ABCF0001,3,88,2025-03-29 16:03:41.159
ABCF0001,3,87,2025-03-29 16:03:41.161
ABCF0001,3,85,2025-03-29 16:03:41.163
ABCF0001,3,82,2025-03-29 16:03:41.930
ABCF0007,3,71,2025-03-29 16:03:41.932
ABCF0001,3,86,2025-03-29 16:03:41.934
ABCF0001,3,86,2025-03-29 16:03:41.936
ABCF0001,3,86,2025-03-29 16:03:41.938
ABCF0007,3,72,2025-03-29 16:03:41.940
ABCF0001,3,80,2025-03-29 16:03:41.942
ABCF0001,3,86,2025-03-29 16:03:42.667
ABCF0001,3,87,2025-03-29 16:03:42.669
ABCF0001,3,86,2025-03-29 16:03:42.671
ABCF0001,3,87,2025-03-29 16:03:42.673
ABCF0007,4,73,2025-03-29 16:03:42.675
ABCF0001,3,85,2025-03-29 16:03:42.677
ABCF0007,4,72,2025-03-29 16:03:43.367
ABCF0001,3,85,2025-03-29 16:03:43.369
ABCF0007,4,72,2025-03-29 16:03:43.371
ABCF0007,1,72,2025-03-29 16:03:43.373
ABCF0001,3,85,2025-03-29 16:03:43.376
ABCF0001,3,76,2025-03-29 16:03:43.378
ABCF0007,3,72,2025-03-29 16:03:43.380
ABCF0001,3,84,2025-03-29 16:03:44.128
ABCF0001,3,85,2025-03-29 16:03:44.130
ABCF0007,4,72,2025-03-29 16:03:44.132
ABCF0001,3,77,2025-03-29 16:03:44.134
ABCF0007,3,71,2025-03-29 16:03:44.136
ABCF0001,3,85,2025-03-29 16:03:44.139
ABCF0001,1,79,2025-03-29 16:03:44.140
ABCF0001,3,86,2025-03-29 16:03:44.983
ABCF0001,3,83,2025-03-29 16:03:44.986
ABCF0007,3,74,2025-03-29 16:03:44.988
ABCF0001,3,84,2025-03-29 16:03:44.990
ABCF0005,3,79,2025-03-29 16:03:44.992
ABCF0001,3,85,2025-03-29 16:03:44.994
ABCF0001,3,83,2025-03-29 16:03:44.997
ABCF0001,3,83,2025-03-29 16:03:45.920
ABCF0007,3,74,2025-03-29 16:03:45.922
ABCF0001,3,84,2025-03-29 16:03:45.924
ABCF0007,3,72,2025-03-29 16:03:45.927
ABCF0007,3,73,2025-03-29 16:03:45.929
ABCF0007,1,73,2025-03-29 16:03:45.932
ABCF0001,3,84,2025-03-29 16:03:46.750
ABCF0007,3,73,2025-03-29 16:03:46.752
ABCF0001,3,82,2025-03-29 16:03:46.754
ABCF0001,4,78,2025-03-29 16:03:46.756
ABCF0007,1,71,2025-03-29 16:03:46.758
ABCF0005,3,79,2025-03-29 16:03:46.761
ABCF0001,3,82,2025-03-29 16:03:47.651
ABCF0001,4,79,2025-03-29 16:03:47.653
ABCF0001,4,79,2025-03-29 16:03:47.655
ABCF0001,3,81,2025-03-29 16:03:47.657
ABCF0007,1,72,2025-03-29 16:03:47.659
ABCF0001,4,78,2025-03-29 16:03:47.661
ABCF0001,4,78,2025-03-29 16:03:49.814
ABCF0005,3,79,2025-03-29 16:03:49.816
ABCF0005,3,79,2025-03-29 16:03:49.819
ABCF0001,3,86,2025-03-29 16:03:49.821
ABCF0001,3,86,2025-03-29 16:03:50.691
ABCF0001,3,82,2025-03-29 16:03:50.692
ABCF0001,3,83,2025-03-29 16:03:50.695
ABCF0001,3,84,2025-03-29 16:03:50.697
ABCF0001,3,85,2025-03-29 16:03:50.699
ABCF0001,3,87,2025-03-29 16:03:50.702
ABCF0001,3,88,2025-03-29 16:03:51.511
ABCF0001,3,86,2025-03-29 16:03:51.513
ABCF0001,3,86,2025-03-29 16:03:51.515
ABCF0001,3,86,2025-03-29 16:03:51.517
ABCF0007,4,72,2025-03-29 16:03:51.518
ABCF0001,3,86,2025-03-29 16:03:51.521
ABCF0001,3,88,2025-03-29 16:03:51.523
ABCF0001,3,87,2025-03-29 16:03:52.544
ABCF0001,3,86,2025-03-29 16:03:52.546
ABCF0001,3,86,2025-03-29 16:03:52.548
ABCF0001,3,84,2025-03-29 16:03:52.550
ABCF0001,3,82,2025-03-29 16:03:52.552
ABCF0007,2,76,2025-03-29 16:03:52.555
ABCF0007,3,77,2025-03-29 16:03:52.557
ABCF0007,3,77,2025-03-29 16:03:53.614
ABCF0007,2,77,2025-03-29 16:03:53.616
ABCF0007,2,75,2025-03-29 16:03:53.618
ABCF0005,3,81,2025-03-29 16:03:53.620
ABCF0005,3,80,2025-03-29 16:03:53.622
ABCF0007,3,76,2025-03-29 16:03:53.625
ABCF0007,4,76,2025-03-29 16:03:54.191
ABCF0005,3,82,2025-03-29 16:03:54.193
ABCF0007,4,76,2025-03-29 16:03:54.195
ABCF0005,3,81,2025-03-29 16:03:54.197
ABCF0007,3,81,2025-03-29 16:03:54.199
ABCF0001,4,76,2025-03-29 16:03:54.202
ABCF0007,3,80,2025-03-29 16:03:54.813
ABCF0007,4,81,2025-03-29 16:03:54.814
ABCF0001,1,79,2025-03-29 16:03:54.817
ABCF0001,3,81,2025-03-29 16:03:54.819
ABCF0007,3,76,2025-03-29 16:03:54.821
ABCF0001,1,79,2025-03-29 16:03:54.823
ABCF0001,3,79,2025-03-29 16:03:54.825
ABCF0001,3,82,2025-03-29 16:03:56.129
ABCF0001,3,79,2025-03-29 16:03:56.131
ABCF0007,4,75,2025-03-29 16:03:56.133
ABCF0007,2,73,2025-03-29 16:03:56.135
ABCF0007,2,73,2025-03-29 16:03:56.137
ABCF0007,3,76,2025-03-29 16:03:56.139
ABCF0007,3,76,2025-03-29 16:03:57.311
ABCF0007,3,73,2025-03-29 16:03:57.313
ABCF0007,4,76,2025-03-29 16:03:57.314
ABCF0001,3,80,2025-03-29 16:03:57.317
ABCF0007,3,78,2025-03-29 16:03:57.319
ABCF0007,3,82,2025-03-29 16:03:58.106
ABCF0007,4,79,2025-03-29 16:03:58.108
ABCF0007,3,80,2025-03-29 16:03:58.111
ABCF0001,3,79,2025-03-29 16:03:58.113
ABCF0001,3,82,2025-03-29 16:03:58.116
ABCF0001,3,81,2025-03-29 16:03:58.118
ABCF0001,3,84,2025-03-29 16:03:58.994
ABCF0001,3,83,2025-03-29 16:03:58.996
ABCF0001,3,83,2025-03-29 16:03:58.998
ABCF0001,3,80,2025-03-29 16:03:59.000
ABCF0001,3,82,2025-03-29 16:03:59.002
ABCF0001,3,81,2025-03-29 16:03:59.004
ABCF0001,3,77,2025-03-29 16:03:59.991
