EPC,AntID,RSSI,Timestamp
ABCF0007,3,75,2025-03-29 16:06:36.294
ABCF0005,3,79,2025-03-29 16:06:36.301
ABCF0001,3,85,2025-03-29 16:06:36.303
ABCF0007,3,73,2025-03-29 16:06:36.304
ABCF0001,3,84,2025-03-29 16:06:36.306
ABCF0005,3,79,2025-03-29 16:06:36.306
ABCF0005,3,81,2025-03-29 16:06:37.026
ABCF0001,3,82,2025-03-29 16:06:37.027
ABCF0007,1,72,2025-03-29 16:06:37.028
ABCF0001,3,82,2025-03-29 16:06:37.030
ABCF0005,3,81,2025-03-29 16:06:37.031
ABCF0007,1,72,2025-03-29 16:06:37.033
ABCF0007,1,71,2025-03-29 16:06:37.986
ABCF0005,3,78,2025-03-29 16:06:37.987
ABCF0005,3,83,2025-03-29 16:06:37.988
ABCF0001,3,80,2025-03-29 16:06:37.990
ABCF0001,3,82,2025-03-29 16:06:37.992
ABCF0005,3,84,2025-03-29 16:06:37.993
ABCF0005,3,82,2025-03-29 16:06:38.685
ABCF0001,3,82,2025-03-29 16:06:38.686
ABCF0001,3,81,2025-03-29 16:06:38.688
ABCF0005,3,84,2025-03-29 16:06:38.693
ABCF0001,3,81,2025-03-29 16:06:38.694
ABCF0005,3,84,2025-03-29 16:06:38.696
ABCF0001,3,78,2025-03-29 16:06:38.699
ABCF0005,3,85,2025-03-29 16:06:39.226
ABCF0007,1,73,2025-03-29 16:06:39.229
ABCF0007,3,74,2025-03-29 16:06:39.233
ABCF0005,3,79,2025-03-29 16:06:39.236
ABCF0007,1,73,2025-03-29 16:06:39.239
ABCF0005,3,84,2025-03-29 16:06:39.242
ABCF0007,1,75,2025-03-29 16:06:39.245
ABCF0007,2,74,2025-03-29 16:06:39.788
ABCF0007,3,76,2025-03-29 16:06:39.790
ABCF0005,3,85,2025-03-29 16:06:39.793
ABCF0007,2,73,2025-03-29 16:06:39.794
ABCF0005,3,80,2025-03-29 16:06:39.797
ABCF0007,3,78,2025-03-29 16:06:39.799
ABCF0007,1,79,2025-03-29 16:06:39.802
ABCF0007,3,77,2025-03-29 16:06:40.386
ABCF0005,3,82,2025-03-29 16:06:40.390
ABCF0005,3,82,2025-03-29 16:06:40.395
ABCF0007,3,77,2025-03-29 16:06:40.396
ABCF0005,3,85,2025-03-29 16:06:40.399
ABCF0001,3,84,2025-03-29 16:06:40.401
ABCF0007,3,78,2025-03-29 16:06:40.404
ABCF0005,3,84,2025-03-29 16:06:40.887
ABCF0007,3,80,2025-03-29 16:06:40.889
ABCF0001,3,84,2025-03-29 16:06:40.892
ABCF0007,1,75,2025-03-29 16:06:40.896
ABCF0005,3,83,2025-03-29 16:06:40.899
ABCF0007,3,78,2025-03-29 16:06:40.902
ABCF0001,3,84,2025-03-29 16:06:40.906
ABCF0005,3,84,2025-03-29 16:06:41.549
ABCF0007,3,75,2025-03-29 16:06:41.550
ABCF0001,3,81,2025-03-29 16:06:41.552
ABCF0005,3,84,2025-03-29 16:06:41.554
ABCF0001,3,80,2025-03-29 16:06:41.557
ABCF0005,3,85,2025-03-29 16:06:41.559
ABCF0005,3,84,2025-03-29 16:06:41.561
ABCF0005,3,84,2025-03-29 16:06:42.503
ABCF0001,3,78,2025-03-29 16:06:42.505
ABCF0007,1,74,2025-03-29 16:06:42.507
ABCF0007,1,71,2025-03-29 16:06:42.510
ABCF0007,1,72,2025-03-29 16:06:42.512
ABCF0007,3,75,2025-03-29 16:06:42.514
