EPC,AntID,RSSI,Timestamp
ABCF0001,1,79,2025-03-29 16:17:50.345
ABCF0007,2,77,2025-03-29 16:17:50.350
ABCF0001,1,79,2025-03-29 16:17:50.352
ABCF0007,3,78,2025-03-29 16:17:50.353
ABCF0001,1,79,2025-03-29 16:17:50.354
ABCF0007,2,79,2025-03-29 16:17:50.356
ABCF0007,3,77,2025-03-29 16:17:51.981
ABCF0007,2,78,2025-03-29 16:17:51.982
ABCF0007,2,77,2025-03-29 16:17:51.984
ABCF0007,2,77,2025-03-29 16:17:51.986
ABCF0007,2,78,2025-03-29 16:17:51.988
ABCF0007,2,78,2025-03-29 16:17:51.990
ABCF0007,3,74,2025-03-29 16:17:53.379
ABCF0007,3,81,2025-03-29 16:17:53.380
ABCF0001,2,81,2025-03-29 16:17:53.382
ABCF0001,2,79,2025-03-29 16:17:53.383
ABCF0005,4,80,2025-03-29 16:17:53.384
ABCF0007,2,74,2025-03-29 16:17:54.463
ABCF0007,2,74,2025-03-29 16:17:54.464
ABCF0001,3,81,2025-03-29 16:17:54.466
ABCF0007,2,73,2025-03-29 16:17:54.467
ABCF0001,3,78,2025-03-29 16:17:54.472
ABCF0001,3,79,2025-03-29 16:17:54.475
ABCF0001,3,82,2025-03-29 16:17:55.555
ABCF0007,4,73,2025-03-29 16:17:55.556
ABCF0001,3,81,2025-03-29 16:17:55.558
ABCF0005,1,79,2025-03-29 16:17:55.560
ABCF0005,2,79,2025-03-29 16:17:55.564
ABCF0005,2,80,2025-03-29 16:17:55.565
ABCF0007,3,73,2025-03-29 16:17:56.445
ABCF0005,2,80,2025-03-29 16:17:56.446
ABCF0001,3,79,2025-03-29 16:17:56.449
ABCF0001,3,80,2025-03-29 16:17:56.452
ABCF0005,3,79,2025-03-29 16:17:56.454
ABCF0001,3,81,2025-03-29 16:17:56.456
ABCF0001,3,76,2025-03-29 16:17:58.176
ABCF0005,3,80,2025-03-29 16:17:58.177
ABCF0001,3,81,2025-03-29 16:17:58.180
ABCF0001,3,80,2025-03-29 16:17:58.181
ABCF0005,1,79,2025-03-29 16:17:58.184
ABCF0005,3,80,2025-03-29 16:17:58.917
ABCF0005,1,81,2025-03-29 16:17:58.918
ABCF0001,2,79,2025-03-29 16:17:58.920
ABCF0005,3,81,2025-03-29 16:17:58.922
ABCF0001,4,82,2025-03-29 16:17:58.925
ABCF0007,4,73,2025-03-29 16:17:58.927
ABCF0005,1,80,2025-03-29 16:17:58.929
ABCF0007,4,72,2025-03-29 16:17:59.698
ABCF0001,4,82,2025-03-29 16:17:59.699
ABCF0001,4,83,2025-03-29 16:17:59.701
ABCF0005,4,79,2025-03-29 16:17:59.704
ABCF0007,4,72,2025-03-29 16:17:59.706
ABCF0007,1,73,2025-03-29 16:17:59.708
ABCF0007,4,73,2025-03-29 16:17:59.710
ABCF0001,4,80,2025-03-29 16:18:00.537
ABCF0007,4,72,2025-03-29 16:18:00.539
ABCF0001,4,81,2025-03-29 16:18:00.542
ABCF0001,4,79,2025-03-29 16:18:00.544
ABCF0007,4,76,2025-03-29 16:18:00.546
ABCF0007,1,73,2025-03-29 16:18:00.548
ABCF0007,2,73,2025-03-29 16:18:01.404
ABCF0001,2,77,2025-03-29 16:18:01.405
ABCF0007,1,77,2025-03-29 16:18:01.408
ABCF0007,1,80,2025-03-29 16:18:01.410
ABCF0001,3,79,2025-03-29 16:18:01.412
ABCF0007,1,80,2025-03-29 16:18:01.414
ABCF0007,1,79,2025-03-29 16:18:02.223
ABCF0007,1,80,2025-03-29 16:18:02.225
ABCF0001,2,78,2025-03-29 16:18:02.227
ABCF0001,1,77,2025-03-29 16:18:02.229
ABCF0007,2,75,2025-03-29 16:18:02.231
ABCF0007,1,78,2025-03-29 16:18:02.236
ABCF0007,1,75,2025-03-29 16:18:03.207
ABCF0007,1,78,2025-03-29 16:18:03.209
ABCF0001,1,84,2025-03-29 16:18:03.211
ABCF0001,1,84,2025-03-29 16:18:03.213
ABCF0007,1,75,2025-03-29 16:18:03.215
ABCF0001,1,80,2025-03-29 16:18:03.218
ABCF0001,1,83,2025-03-29 16:18:03.843
ABCF0007,1,76,2025-03-29 16:18:03.845
ABCF0001,1,83,2025-03-29 16:18:03.847
ABCF0007,1,75,2025-03-29 16:18:03.849
ABCF0001,1,82,2025-03-29 16:18:03.852
ABCF0001,1,84,2025-03-29 16:18:03.855
ABCF0007,1,75,2025-03-29 16:18:04.566
ABCF0007,2,76,2025-03-29 16:18:04.568
ABCF0005,4,82,2025-03-29 16:18:04.571
ABCF0007,2,77,2025-03-29 16:18:04.572
ABCF0005,4,81,2025-03-29 16:18:04.574
ABCF0007,1,80,2025-03-29 16:18:04.577
ABCF0007,1,83,2025-03-29 16:18:04.580
ABCF0007,2,76,2025-03-29 16:18:05.115
ABCF0005,4,82,2025-03-29 16:18:05.117
ABCF0007,1,77,2025-03-29 16:18:05.119
ABCF0007,2,74,2025-03-29 16:18:05.122
ABCF0005,4,80,2025-03-29 16:18:05.124
ABCF0007,1,82,2025-03-29 16:18:05.127
ABCF0007,1,80,2025-03-29 16:18:05.129
ABCF0007,2,76,2025-03-29 16:18:05.815
ABCF0005,4,80,2025-03-29 16:18:05.817
ABCF0007,1,79,2025-03-29 16:18:05.820
ABCF0005,4,82,2025-03-29 16:18:05.822
ABCF0005,4,80,2025-03-29 16:18:05.824
ABCF0007,2,75,2025-03-29 16:18:05.826
ABCF0001,1,79,2025-03-29 16:18:05.828
ABCF0007,2,75,2025-03-29 16:18:06.875
ABCF0005,4,81,2025-03-29 16:18:06.876
ABCF0007,1,78,2025-03-29 16:18:06.878
ABCF0001,1,79,2025-03-29 16:18:06.880
ABCF0007,2,73,2025-03-29 16:18:06.884
ABCF0001,1,82,2025-03-29 16:18:06.888
ABCF0007,2,75,2025-03-29 16:18:07.678
ABCF0001,4,78,2025-03-29 16:18:07.680
ABCF0005,1,80,2025-03-29 16:18:07.683
ABCF0005,1,83,2025-03-29 16:18:07.685
ABCF0005,1,82,2025-03-29 16:18:07.688
ABCF0005,1,83,2025-03-29 16:18:07.689
ABCF0005,1,83,2025-03-29 16:18:07.692
ABCF0005,1,82,2025-03-29 16:18:08.401
ABCF0007,2,78,2025-03-29 16:18:08.403
ABCF0005,1,89,2025-03-29 16:18:08.405
ABCF0005,1,84,2025-03-29 16:18:08.408
ABCF0005,1,88,2025-03-29 16:18:08.411
ABCF0005,1,88,2025-03-29 16:18:08.414
ABCF0005,2,80,2025-03-29 16:18:08.417
ABCF0007,2,82,2025-03-29 16:18:08.938
ABCF0001,1,79,2025-03-29 16:18:08.940
ABCF0005,1,84,2025-03-29 16:18:08.943
ABCF0007,2,78,2025-03-29 16:18:08.945
ABCF0005,2,86,2025-03-29 16:18:08.947
ABCF0005,2,86,2025-03-29 16:18:08.950
ABCF0007,4,73,2025-03-29 16:18:08.952
ABCF0005,2,86,2025-03-29 16:18:09.698
ABCF0005,4,79,2025-03-29 16:18:09.699
ABCF0005,2,82,2025-03-29 16:18:09.702
ABCF0001,2,79,2025-03-29 16:18:09.704
ABCF0001,4,83,2025-03-29 16:18:09.706
ABCF0001,4,85,2025-03-29 16:18:09.708
ABCF0005,4,80,2025-03-29 16:18:09.710
ABCF0001,2,79,2025-03-29 16:18:10.397
ABCF0005,1,82,2025-03-29 16:18:10.400
ABCF0005,1,81,2025-03-29 16:18:10.403
ABCF0007,1,76,2025-03-29 16:18:10.405
ABCF0001,4,79,2025-03-29 16:18:10.407
ABCF0007,1,75,2025-03-29 16:18:10.409
ABCF0005,4,80,2025-03-29 16:18:10.411
ABCF0005,4,83,2025-03-29 16:18:10.982
ABCF0007,1,74,2025-03-29 16:18:10.983
ABCF0001,1,79,2025-03-29 16:18:10.985
ABCF0001,3,82,2025-03-29 16:18:10.987
ABCF0001,4,81,2025-03-29 16:18:10.989
ABCF0007,1,73,2025-03-29 16:18:10.991
ABCF0005,2,84,2025-03-29 16:18:10.993
ABCF0001,3,80,2025-03-29 16:18:11.567
ABCF0001,4,80,2025-03-29 16:18:11.569
ABCF0005,2,86,2025-03-29 16:18:11.571
ABCF0007,2,76,2025-03-29 16:18:11.574
ABCF0001,4,84,2025-03-29 16:18:11.576
ABCF0005,2,81,2025-03-29 16:18:11.578
ABCF0007,2,77,2025-03-29 16:18:11.581
ABCF0007,2,81,2025-03-29 16:18:12.168
ABCF0005,2,79,2025-03-29 16:18:12.170
ABCF0007,3,75,2025-03-29 16:18:12.172
ABCF0005,2,80,2025-03-29 16:18:12.174
ABCF0007,2,82,2025-03-29 16:18:12.176
ABCF0007,1,78,2025-03-29 16:18:12.178
ABCF0001,2,84,2025-03-29 16:18:12.180
ABCF0007,3,75,2025-03-29 16:18:12.729
ABCF0001,3,78,2025-03-29 16:18:12.731
ABCF0001,3,83,2025-03-29 16:18:12.733
ABCF0007,2,76,2025-03-29 16:18:12.736
ABCF0005,1,81,2025-03-29 16:18:12.737
ABCF0005,2,86,2025-03-29 16:18:12.739
ABCF0007,2,75,2025-03-29 16:18:12.742
ABCF0001,3,80,2025-03-29 16:18:13.331
ABCF0001,3,79,2025-03-29 16:18:13.333
ABCF0005,2,81,2025-03-29 16:18:13.336
ABCF0007,2,80,2025-03-29 16:18:13.337
ABCF0001,2,80,2025-03-29 16:18:13.339
ABCF0005,2,78,2025-03-29 16:18:13.342
ABCF0007,4,75,2025-03-29 16:18:13.344
ABCF0007,2,75,2025-03-29 16:18:13.814
ABCF0001,3,82,2025-03-29 16:18:13.816
ABCF0007,3,82,2025-03-29 16:18:13.818
ABCF0007,2,82,2025-03-29 16:18:13.820
ABCF0001,2,83,2025-03-29 16:18:13.822
ABCF0007,3,84,2025-03-29 16:18:13.824
ABCF0001,3,79,2025-03-29 16:18:13.827
ABCF0001,1,80,2025-03-29 16:18:14.356
ABCF0007,2,75,2025-03-29 16:18:14.357
ABCF0007,3,85,2025-03-29 16:18:14.359
ABCF0007,2,76,2025-03-29 16:18:14.362
ABCF0001,2,82,2025-03-29 16:18:14.364
ABCF0007,3,84,2025-03-29 16:18:14.366
ABCF0001,1,81,2025-03-29 16:18:14.368
ABCF0007,2,77,2025-03-29 16:18:14.857
ABCF0001,1,81,2025-03-29 16:18:14.859
ABCF0001,1,79,2025-03-29 16:18:14.863
ABCF0007,1,76,2025-03-29 16:18:14.866
ABCF0007,2,76,2025-03-29 16:18:14.869
ABCF0001,2,81,2025-03-29 16:18:14.872
ABCF0007,3,83,2025-03-29 16:18:14.874
ABCF0007,3,80,2025-03-29 16:18:15.578
ABCF0001,2,82,2025-03-29 16:18:15.581
ABCF0007,3,80,2025-03-29 16:18:15.583
ABCF0001,1,81,2025-03-29 16:18:15.586
ABCF0001,2,83,2025-03-29 16:18:15.589
ABCF0007,3,81,2025-03-29 16:18:15.591
ABCF0007,3,81,2025-03-29 16:18:15.593
ABCF0007,3,80,2025-03-29 16:18:16.274
ABCF0001,1,81,2025-03-29 16:18:16.276
ABCF0007,3,78,2025-03-29 16:18:16.278
ABCF0007,2,73,2025-03-29 16:18:16.280
ABCF0001,2,85,2025-03-29 16:18:16.282
ABCF0001,1,80,2025-03-29 16:18:16.284
ABCF0007,3,77,2025-03-29 16:18:16.286
ABCF0001,1,81,2025-03-29 16:18:16.876
ABCF0001,2,83,2025-03-29 16:18:16.878
ABCF0001,1,86,2025-03-29 16:18:16.880
ABCF0001,1,82,2025-03-29 16:18:16.884
ABCF0001,2,87,2025-03-29 16:18:16.885
ABCF0001,1,82,2025-03-29 16:18:16.887
ABCF0001,2,87,2025-03-29 16:18:16.890
ABCF0001,1,83,2025-03-29 16:18:17.521
ABCF0007,1,76,2025-03-29 16:18:17.523
ABCF0001,1,81,2025-03-29 16:18:17.525
ABCF0007,1,75,2025-03-29 16:18:17.527
ABCF0001,1,81,2025-03-29 16:18:17.529
ABCF0001,1,80,2025-03-29 16:18:17.532
ABCF0007,3,76,2025-03-29 16:18:17.535
ABCF0007,1,78,2025-03-29 16:18:17.985
ABCF0001,1,81,2025-03-29 16:18:17.987
ABCF0007,1,76,2025-03-29 16:18:17.989
ABCF0001,1,79,2025-03-29 16:18:17.992
